source,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_0,cluster_0,57,14,1.0,0.9913831542763273,1.0491803278688525,1.0471778729333878,0.3582089552238806,0.6428571428571429,0.6428032716144104,1.0,1.0
cluster_0,cluster_6,15,14,1.0,1.0430574059081563,0.9491525423728814,0.9254173555799423,0.40425531914893614,0.5217391304347826,0.6301846379457586,1.0,0.8115942028985507
cluster_0,cluster_12,12,14,1.0,1.0271766728677958,1.0217391304347827,0.9708707971571755,0.22357357357357358,0.8811541565778853,0.7887358192371446,1.0,1.3706842435655993
cluster_0,cluster_8,11,14,1.02,1.0005119236689732,0.9310344827586207,0.9378612432911971,0.28,0.7,0.6577210801683544,1.02,1.0888888888888888
cluster_0,cluster_2,9,14,0.9464285714285714,0.9591997298653645,1.0892857142857142,1.0439618164178595,0.43859649122807015,0.4912280701754386,0.5414156172334219,0.9464285714285714,0.7641325536062378
cluster_0,cluster_1,8,14,0.9948440643863179,0.9997309474387003,0.9862081995087852,0.9794481422868391,0.4052893309222423,0.5593354430379747,0.5059089510261823,0.9948440643863179,0.8700773558368494
cluster_0,cluster_10,8,14,0.9502732240437158,0.9814341270656901,0.9945510026155188,0.9940809068991437,0.36574074074074076,0.687641723356009,0.5759557880275377,0.9502732240437158,1.0696649029982361
cluster_0,all_valid,139,14,1.0,1.0045770480587488,1.0,0.998143861043802,0.3582089552238806,0.6326530612244897,0.6359880391626712,1.0,0.984126984126984
cluster_6,cluster_0,57,12,0.9090909090909091,0.9033566185502011,0.9508196721311475,0.9692142073398403,0.3409090909090909,0.5737704918032787,0.5980629229763619,0.9917355371900827,1.0267471958584986
cluster_6,cluster_6,15,12,0.9166666666666666,0.9863124858543925,0.8983050847457628,0.8779329556984266,0.4050632911392405,0.5588235294117647,0.6626799718234646,1.0,1.0
