source_a,source_b,source_a_nodes,source_b_nodes,intersection,union,jaccard
cluster_0,cluster_0,2,2,2,2,1.0
cluster_0,cluster_6,2,2,1,3,0.3333333333333333
cluster_0,cluster_12,2,2,1,3,0.3333333333333333
cluster_0,cluster_8,2,2,1,3,0.3333333333333333
cluster_0,cluster_2,2,2,1,3,0.3333333333333333
cluster_0,cluster_10,2,2,1,3,0.3333333333333333
cluster_0,cluster_1,2,2,1,3,0.3333333333333333
cluster_0,global_core,2,8,2,8,0.25
cluster_6,cluster_6,2,2,2,2,1.0
cluster_6,cluster_12,2,2,1,3,0.3333333333333333
cluster_6,cluster_8,2,2,2,2,1.0
cluster_6,cluster_2,2,2,2,2,1.0
cluster_6,cluster_10,2,2,2,2,1.0
cluster_6,cluster_1,2,2,1,3,0.3333333333333333
cluster_6,global_core,2,8,2,8,0.25
cluster_12,cluster_12,2,2,2,2,1.0
cluster_12,cluster_8,2,2,1,3,0.3333333333333333
cluster_12,cluster_2,2,2,1,3,0.3333333333333333
cluster_12,cluster_10,2,2,1,3,0.3333333333333333
cluster_12,cluster_1,2,2,1,3,0.3333333333333333
cluster_12,global_core,2,8,2,8,0.25
cluster_8,cluster_8,2,2,2,2,1.0
cluster_8,cluster_2,2,2,2,2,1.0
cluster_8,cluster_10,2,2,2,2,1.0
cluster_8,cluster_1,2,2,1,3,0.3333333333333333
cluster_8,global_core,2,8,2,8,0.25
cluster_2,cluster_2,2,2,2,2,1.0
cluster_2,cluster_10,2,2,2,2,1.0
cluster_2,cluster_1,2,2,1,3,0.3333333333333333
cluster_2,global_core,2,8,2,8,0.25
cluster_10,cluster_10,2,2,2,2,1.0
cluster_10,cluster_1,2,2,1,3,0.3333333333333333
cluster_10,global_core,2,8,2,8,0.25
cluster_1,cluster_1,2,2,2,2,1.0
cluster_1,global_core,2,8,2,8,0.25
global_core,global_core,8,8,8,8,1.0
