source,target,n_samples,source_nodes,target_nodes,source_target_jaccard,suff_median,delta_vs_random_median,suff_vs_within_ratio,delta_vs_within_ratio
cluster_0,cluster_6,15,2,2,0.3333333333333333,0.6231884057971014,0.5652173913043478,1.0155662909286098,0.9565217391304347
cluster_0,cluster_12,12,2,2,0.3333333333333333,0.6179968701095462,0.48041936478569225,1.00710601054889,0.8130173865604022
cluster_0,cluster_8,11,2,2,0.3333333333333333,0.6551724137931034,0.5909090909090909,1.0676883780332056,1.0
cluster_0,cluster_2,9,2,2,0.3333333333333333,0.5660377358490566,0.5614035087719298,0.9224318658280922,0.9500674763832657
cluster_0,cluster_10,8,2,2,0.3333333333333333,0.5774257864421799,0.5192307692307692,0.9409901704983672,0.8786982248520708
cluster_0,cluster_1,8,2,2,0.3333333333333333,0.6587153518123667,0.6764594747780087,1.0734620548053384,1.1447775727012455
cluster_6,cluster_0,57,2,2,0.3333333333333333,0.6216216216216216,0.6153846153846154,0.9324324324324325,1.0185676392572947
cluster_6,cluster_12,12,2,2,0.3333333333333333,0.6420656028368794,0.6480908152734779,0.9630984042553191,1.0727020390733428
cluster_6,cluster_8,11,2,2,1.0,0.6428571428571429,0.5357142857142858,0.9642857142857144,0.8866995073891628
cluster_6,cluster_2,9,2,2,1.0,0.5471698113207547,0.5789473684210527,0.8207547169811321,0.958257713248639
cluster_6,cluster_10,8,2,2,1.0,0.5408602150537634,0.4907407407407407,0.811290322580645,0.8122605363984674
cluster_6,cluster_1,8,2,2,0.3333333333333333,0.7003269617706237,0.6028848984397999,1.0504904426559356,0.9978784525900136
cluster_12,cluster_0,57,2,2,0.3333333333333333,0.7166666666666667,0.6744186046511628,0.900523560209424,0.8945671507142821
cluster_12,cluster_6,15,2,2,0.3333333333333333,0.7971014492753623,0.7058823529411764,1.0015934441156384,0.9363015208287414
cluster_12,cluster_8,11,2,2,0.3333333333333333,0.8053097345132744,0.7079646017699115,1.0119075198072556,0.9390634722176168
cluster_12,cluster_2,9,2,2,0.3333333333333333,0.5471698113207547,0.5681818181818182,0.6875432184135137,0.7536517923337408
cluster_12,cluster_10,8,2,2,0.3333333333333333,0.5867486338797814,0.6157407407407407,0.7372757703201441,0.8167352386550094
cluster_12,cluster_1,8,2,2,0.3333333333333333,0.7935953145664084,0.7253616636528029,0.997187829821665,0.9621394075077293
cluster_8,cluster_0,57,2,2,0.3333333333333333,0.6216216216216216,0.6086956521739131,0.9669669669669668,1.0329380764163374
cluster_8,cluster_6,15,2,2,1.0,0.6666666666666666,0.6470588235294118,1.037037037037037,1.0980392156862746
cluster_8,cluster_12,12,2,2,0.3333333333333333,0.6420656028368794,0.5822912464703509,0.9987687155240346,0.9881306000708985
cluster_8,cluster_2,9,2,2,1.0,0.5471698113207547,0.5952380952380952,0.8511530398322851,1.0101010101010102
cluster_8,cluster_10,8,2,2,1.0,0.5408602150537634,0.5562448304383788,0.8413381123058541,0.9439306213499761
cluster_8,cluster_1,8,2,2,0.3333333333333333,0.7003269617706237,0.6151672694394213,1.0893974960876367,1.0439202148062907
cluster_2,cluster_0,57,2,2,0.3333333333333333,0.6216216216216216,0.6086956521739131,1.1360671015843429,1.1754122938530738
cluster_2,cluster_6,15,2,2,1.0,0.6666666666666666,0.5942028985507246,1.2183908045977012,1.1474262868565719
cluster_2,cluster_12,12,2,2,0.3333333333333333,0.6420656028368794,0.5839727195225917,1.1734302396674003,1.127671458388453
cluster_2,cluster_8,11,2,2,1.0,0.6428571428571429,0.5606060606060606,1.1748768472906406,1.0825496342737722
cluster_2,cluster_10,8,2,2,1.0,0.5408602150537634,0.4621794871794872,0.9884686688913606,0.8924845269672858
cluster_2,cluster_1,8,2,2,0.3333333333333333,0.7003269617706237,0.5808065940535767,1.2799078956497605,1.1215575609310449
cluster_10,cluster_0,57,2,2,0.3333333333333333,0.6216216216216216,0.6363636363636364,1.1493202944495193,1.1891855852251891
cluster_10,cluster_6,15,2,2,1.0,0.6666666666666666,0.5942028985507247,1.2326043737574555,1.1103989626015742
cluster_10,cluster_12,12,2,2,0.3333333333333333,0.6420656028368794,0.6118889707688528,1.1871193054439322,1.143449283108938
cluster_10,cluster_8,11,2,2,1.0,0.6428571428571429,0.5714285714285715,1.1885827889804035,1.0678401173450678
cluster_10,cluster_2,9,2,2,1.0,0.5471698113207547,0.5614035087719298,1.011665853933006,1.049106080198663
cluster_10,cluster_1,8,2,2,0.3333333333333333,0.7003269617706237,0.617230304175326,1.2948391142081117,1.153430740769146
cluster_1,cluster_0,57,2,2,0.3333333333333333,0.5957446808510638,0.576923076923077,0.9052428404704193,0.9426312227670464
cluster_1,cluster_6,15,2,2,0.3333333333333333,0.6458333333333334,0.6065573770491803,0.9813532876230662,0.9910505314774848
cluster_1,cluster_12,12,2,2,0.3333333333333333,0.6353346456692913,0.6248170910155106,0.9654003766736436,1.0208849707501462
cluster_1,cluster_8,11,2,2,0.3333333333333333,0.6724137931034483,0.5443037974683544,1.0217426887821912,0.8893347738848589
cluster_1,cluster_2,9,2,2,0.3333333333333333,0.49056603773584906,0.40909090909090906,0.7454223389857496,0.66841123068936
cluster_1,cluster_10,8,2,2,0.3333333333333333,0.5122950819672132,0.535897435897436,0.7784399425883657,0.8755996691480565
