source,source_build_mode,source_cluster_id,source_cluster_size,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_0,compact_support,0,57,cluster_0,57,4,0.7954545454545454,0.8036315058434209,0.8717948717948718,0.8871697953797432,0.06666666666666667,0.7636363636363637,0.7493877439728708,1.0,1.0
cluster_0,compact_support,0,57,cluster_6,15,4,0.8153846153846154,0.8789709141849728,0.7627118644067796,0.7918770580619281,0.11764705882352941,0.7681159420289856,0.7894960344245485,1.025054945054945,1.0058661145617669
cluster_0,compact_support,0,57,cluster_12,12,4,0.865304071033674,0.8509137232682643,0.8090964098426785,0.8018162989451781,0.01288161348252521,0.9030851777330651,0.8399411803865445,1.087810832156619,1.1826115422694898
cluster_0,compact_support,0,57,cluster_8,11,4,0.8571428571428571,0.8603904083246788,0.7857142857142857,0.8023002027737957,0.07692307692307693,0.726027397260274,0.6796133171105226,1.0775510204081633,0.9507501630789302
cluster_0,compact_support,0,57,cluster_2,9,4,0.7358490566037735,0.7459633842001386,0.8245614035087719,0.822884526504773,0.09523809523809523,0.5818181818181818,0.6357061339376311,0.9250673854447439,0.7619047619047619
cluster_0,compact_support,0,57,cluster_10,8,4,0.7520491803278688,0.7803579022605236,0.731691368788143,0.7682817531707009,0.036642411642411644,0.6455301455301454,0.711297190669405,0.9454332552693209,0.8453370953370951
cluster_0,compact_support,0,57,cluster_1,8,4,0.8581488933601609,0.8650001756701196,0.8003731343283582,0.8584770252442293,0.1905638665132336,0.5903904439293992,0.6787994321518471,1.0788157516527737,0.7731303432408799
cluster_0,compact_support,0,57,all_valid,139,4,0.8194444444444444,0.8362703332844469,0.8275862068965517,0.8442421551462944,0.08333333333333333,0.7636363636363637,0.7466991306848676,1.0301587301587303,1.0
cluster_6,compact_support,6,15,cluster_0,57,4,0.9206349206349206,0.9279052498514122,1.0810810810810811,1.0983004755208967,0.10638297872340426,0.8028169014084506,0.8132897682538639,0.982010582010582,1.0451767207015676
cluster_6,compact_support,6,15,cluster_6,15,4,0.9375,1.0443226329393387,0.9791666666666666,1.0864872973364519,0.17391304347826086,0.7681159420289856,0.8059324491904586,1.0,1.0
cluster_6,compact_support,6,15,cluster_12,12,4,1.0,0.9863937798130861,1.0215471936094178,1.0291506985921688,0.18927304964539007,0.7726449275362319,0.7705587671945048,1.0666666666666667,1.0058962264150944
cluster_6,compact_support,6,15,cluster_8,11,4,0.9696969696969697,0.9746545724781582,1.0104166666666667,0.9936808734147895,0.125,0.8400000000000001,0.8269012406902246,1.0343434343434343,1.0935849056603772
cluster_6,compact_support,6,15,cluster_2,9,4,0.7924528301886793,0.8091419593726972,0.9056603773584906,0.9371246196411218,0.17543859649122806,0.6363636363636362,0.6329753807775303,0.8452830188679246,0.8284734133790735
cluster_6,compact_support,6,15,cluster_10,8,4,0.7851092896174863,0.8616500890156175,0.8768817204301076,0.8902775767940647,0.16960838389409819,0.6944789081885856,0.7366897737969356,0.8374499089253187,0.9041329182077812
cluster_6,compact_support,6,15,cluster_1,8,4,0.976483903420523,0.9924462448212252,1.0114275668073136,1.1181178408573658,0.1532622739018088,0.9467676311030742,0.858778716848204,1.0415828303152246,1.2325842744549456
cluster_6,compact_support,6,15,all_valid,139,4,0.9259259259259259,0.9684345418811926,1.0172413793103448,1.0638224361783233,0.13513513513513514,0.7916666666666666,0.8236746518386882,0.9876543209876544,1.0306603773584904
cluster_12,compact_support,12,12,cluster_0,57,4,0.75,0.7476687537862535,0.7846153846153846,0.7859365272341904,0.03389830508474576,0.7121212121212122,0.6948563867787436,0.932799442896936,0.995018679950187
cluster_12,compact_support,12,12,cluster_6,15,4,0.7846153846153846,0.8196148964466515,0.68,0.6737812688326794,0.1694915254237288,0.6176470588235294,0.6254779066190721,0.9758517248767945,0.8630136986301371
cluster_12,compact_support,12,12,cluster_12,12,4,0.8040313549832027,0.8068496071865715,0.7603056970819824,0.732377930100322,0.18210922787193973,0.7156862745098038,0.6533660072261496,1.0,1.0
cluster_12,compact_support,12,12,cluster_8,11,4,0.8035714285714286,0.825255895031889,0.7142857142857143,0.7319768059073639,0.11392405063291139,0.7123287671232876,0.6888342858969705,0.9994279745324314,0.9953086883092513
