q_index,source,source_build_mode,source_cluster_id,source_cluster_size,target,source_nodes,suff_ratio,nec_ratio,random_suff_mean,delta_vs_random,gap
1,cluster_2,compact_support,2,12,cluster_0,4,1.0,1.631578947368421,-0.21052631578947367,1.2105263157894737,4.75
1,cluster_2,compact_support,2,12,all_valid,4,1.0,1.631578947368421,-0.21052631578947367,1.2105263157894737,4.75
1,cluster_10,compact_support,10,11,cluster_0,4,1.0,1.631578947368421,-0.3157894736842105,1.3157894736842106,4.75
1,cluster_10,compact_support,10,11,all_valid,4,1.0,1.631578947368421,-0.3157894736842105,1.3157894736842106,4.75
1,cluster_0,compact_support,0,10,cluster_0,4,1.0,1.631578947368421,-0.18421052631578946,1.1842105263157894,4.75
1,cluster_0,compact_support,0,10,all_valid,4,1.0,1.631578947368421,-0.18421052631578946,1.1842105263157894,4.75
1,cluster_1,compact_support,1,8,cluster_0,4,0.5263157894736842,0.8157894736842105,0.10526315789473684,0.42105263157894735,4.75
1,cluster_1,compact_support,1,8,all_valid,4,0.5263157894736842,0.8157894736842105,0.10526315789473684,0.42105263157894735,4.75
1,global_core,global_aggregate,,10,cluster_0,10,0.7894736842105263,1.1578947368421053,0.0,0.7894736842105263,4.75
1,global_core,global_aggregate,,10,all_valid,10,0.7894736842105263,1.1578947368421053,0.0,0.7894736842105263,4.75
2,cluster_2,compact_support,2,12,cluster_1,4,0.864406779661017,1.152542372881356,-0.1694915254237288,1.0338983050847457,7.375
2,cluster_2,compact_support,2,12,all_valid,4,0.864406779661017,1.152542372881356,-0.1694915254237288,1.0338983050847457,7.375
2,cluster_10,compact_support,10,11,cluster_1,4,0.864406779661017,1.152542372881356,-0.23728813559322035,1.1016949152542372,7.375
2,cluster_10,compact_support,10,11,all_valid,4,0.864406779661017,1.152542372881356,-0.23728813559322035,1.1016949152542372,7.375
2,cluster_0,compact_support,0,10,cluster_1,4,0.864406779661017,1.152542372881356,-0.15254237288135594,1.0169491525423728,7.375
2,cluster_0,compact_support,0,10,all_valid,4,0.864406779661017,1.152542372881356,-0.15254237288135594,1.0169491525423728,7.375
2,cluster_1,compact_support,1,8,cluster_1,4,0.576271186440678,0.6779661016949152,0.2711864406779661,0.3050847457627119,7.375
2,cluster_1,compact_support,1,8,all_valid,4,0.576271186440678,0.6779661016949152,0.2711864406779661,0.3050847457627119,7.375
2,global_core,global_aggregate,,10,cluster_1,10,0.8135593220338984,1.0847457627118644,0.3220338983050847,0.49152542372881364,7.375
2,global_core,global_aggregate,,10,all_valid,10,0.8135593220338984,1.0847457627118644,0.3220338983050847,0.49152542372881364,7.375
3,cluster_2,compact_support,2,12,cluster_2,4,0.8939393939393939,1.0454545454545454,0.13636363636363635,0.7575757575757576,8.25
3,cluster_2,compact_support,2,12,all_valid,4,0.8939393939393939,1.0454545454545454,0.13636363636363635,0.7575757575757576,8.25
3,cluster_10,compact_support,10,11,cluster_2,4,0.8939393939393939,1.0454545454545454,0.30303030303030304,0.5909090909090908,8.25
3,cluster_10,compact_support,10,11,all_valid,4,0.8939393939393939,1.0454545454545454,0.30303030303030304,0.5909090909090908,8.25
3,cluster_0,compact_support,0,10,cluster_2,4,0.8939393939393939,1.0454545454545454,-0.21212121212121213,1.106060606060606,8.25
3,cluster_0,compact_support,0,10,all_valid,4,0.8939393939393939,1.0454545454545454,-0.21212121212121213,1.106060606060606,8.25
3,cluster_1,compact_support,1,8,cluster_2,4,0.5909090909090909,0.5303030303030303,0.045454545454545456,0.5454545454545455,8.25
3,cluster_1,compact_support,1,8,all_valid,4,0.5909090909090909,0.5303030303030303,0.045454545454545456,0.5454545454545455,8.25
3,global_core,global_aggregate,,10,cluster_2,10,0.8181818181818182,0.8333333333333334,0.48484848484848486,0.33333333333333337,8.25
3,global_core,global_aggregate,,10,all_valid,10,0.8181818181818182,0.8333333333333334,0.48484848484848486,0.33333333333333337,8.25
4,cluster_2,compact_support,2,12,cluster_2,4,0.7115384615384616,1.0576923076923077,0.07692307692307693,0.6346153846153846,6.5
4,cluster_2,compact_support,2,12,all_valid,4,0.7115384615384616,1.0576923076923077,0.07692307692307693,0.6346153846153846,6.5
4,cluster_10,compact_support,10,11,cluster_2,4,0.7115384615384616,1.0576923076923077,0.057692307692307696,0.6538461538461539,6.5
4,cluster_10,compact_support,10,11,all_valid,4,0.7115384615384616,1.0576923076923077,0.057692307692307696,0.6538461538461539,6.5
4,cluster_0,compact_support,0,10,cluster_2,4,0.7115384615384616,1.0576923076923077,-0.25,0.9615384615384616,6.5
4,cluster_0,compact_support,0,10,all_valid,4,0.7115384615384616,1.0576923076923077,-0.25,0.9615384615384616,6.5
4,cluster_1,compact_support,1,8,cluster_2,4,0.5192307692307693,0.7307692307692307,0.019230769230769232,0.5,6.5
4,cluster_1,compact_support,1,8,all_valid,4,0.5192307692307693,0.7307692307692307,0.019230769230769232,0.5,6.5
4,global_core,global_aggregate,,10,cluster_2,10,0.6923076923076923,0.9807692307692307,0.4230769230769231,0.2692307692307692,6.5
4,global_core,global_aggregate,,10,all_valid,10,0.6923076923076923,0.9807692307692307,0.4230769230769231,0.2692307692307692,6.5
5,cluster_2,compact_support,2,12,all_valid,4,0.8732394366197183,1.028169014084507,0.09859154929577464,0.7746478873239436,8.875
5,cluster_10,compact_support,10,11,all_valid,4,0.8732394366197183,1.028169014084507,-0.18309859154929578,1.056338028169014,8.875
5,cluster_0,compact_support,0,10,all_valid,4,0.8732394366197183,1.028169014084507,-0.028169014084507043,0.9014084507042253,8.875
5,cluster_1,compact_support,1,8,all_valid,4,0.6197183098591549,0.5211267605633803,0.4225352112676056,0.19718309859154926,8.875
5,global_core,global_aggregate,,10,all_valid,10,0.9295774647887324,1.1267605633802817,-0.09859154929577464,1.028169014084507,8.875
6,cluster_2,compact_support,2,12,cluster_2,4,0.8378378378378378,1.0810810810810811,0.08108108108108109,0.7567567567567568,4.625
6,cluster_2,compact_support,2,12,all_valid,4,0.8378378378378378,1.0810810810810811,0.08108108108108109,0.7567567567567568,4.625
6,cluster_10,compact_support,10,11,cluster_2,4,0.8378378378378378,1.0810810810810811,0.2702702702702703,0.5675675675675675,4.625
6,cluster_10,compact_support,10,11,all_valid,4,0.8378378378378378,1.0810810810810811,0.2702702702702703,0.5675675675675675,4.625
6,cluster_0,compact_support,0,10,cluster_2,4,0.8378378378378378,1.0810810810810811,0.21621621621621623,0.6216216216216216,4.625
6,cluster_0,compact_support,0,10,all_valid,4,0.8378378378378378,1.0810810810810811,0.21621621621621623,0.6216216216216216,4.625
6,cluster_1,compact_support,1,8,cluster_2,4,0.7027027027027027,0.5405405405405406,0.02702702702702703,0.6756756756756757,4.625
6,cluster_1,compact_support,1,8,all_valid,4,0.7027027027027027,0.5405405405405406,0.02702702702702703,0.6756756756756757,4.625
6,global_core,global_aggregate,,10,cluster_2,10,0.8108108108108109,0.8108108108108109,0.5675675675675675,0.2432432432432433,4.625
6,global_core,global_aggregate,,10,all_valid,10,0.8108108108108109,0.8108108108108109,0.5675675675675675,0.2432432432432433,4.625
7,cluster_2,compact_support,2,12,cluster_1,4,0.82,0.82,-0.16,0.98,6.25
7,cluster_2,compact_support,2,12,all_valid,4,0.82,0.82,-0.16,0.98,6.25
7,cluster_10,compact_support,10,11,cluster_1,4,0.82,0.82,-0.06,0.8799999999999999,6.25
7,cluster_10,compact_support,10,11,all_valid,4,0.82,0.82,-0.06,0.8799999999999999,6.25
7,cluster_0,compact_support,0,10,cluster_1,4,0.82,0.82,0.14,0.6799999999999999,6.25
7,cluster_0,compact_support,0,10,all_valid,4,0.82,0.82,0.14,0.6799999999999999,6.25
7,cluster_1,compact_support,1,8,cluster_1,4,0.66,0.52,0.04,0.62,6.25
7,cluster_1,compact_support,1,8,all_valid,4,0.66,0.52,0.04,0.62,6.25
7,global_core,global_aggregate,,10,cluster_1,10,0.88,0.9,0.6,0.28,6.25
7,global_core,global_aggregate,,10,all_valid,10,0.88,0.9,0.6,0.28,6.25
8,cluster_2,compact_support,2,12,all_valid,4,1.1388888888888888,0.9722222222222222,0.2222222222222222,0.9166666666666666,9.0
8,cluster_10,compact_support,10,11,all_valid,4,1.1388888888888888,0.9722222222222222,0.2638888888888889,0.875,9.0
8,cluster_0,compact_support,0,10,all_valid,4,1.1388888888888888,0.9722222222222222,-0.013888888888888888,1.1527777777777777,9.0
8,cluster_1,compact_support,1,8,all_valid,4,0.7361111111111112,0.3472222222222222,0.013888888888888888,0.7222222222222223,9.0
8,global_core,global_aggregate,,10,all_valid,10,1.2083333333333333,0.9305555555555556,0.2916666666666667,0.9166666666666665,9.0
9,cluster_2,compact_support,2,12,cluster_1,4,0.8636363636363636,0.9772727272727273,0.22727272727272727,0.6363636363636364,5.5
9,cluster_2,compact_support,2,12,all_valid,4,0.8636363636363636,0.9772727272727273,0.22727272727272727,0.6363636363636364,5.5
9,cluster_10,compact_support,10,11,cluster_1,4,0.8636363636363636,0.9772727272727273,-0.11363636363636363,0.9772727272727273,5.5
9,cluster_10,compact_support,10,11,all_valid,4,0.8636363636363636,0.9772727272727273,-0.11363636363636363,0.9772727272727273,5.5
9,cluster_0,compact_support,0,10,cluster_1,4,0.8636363636363636,0.9772727272727273,0.022727272727272728,0.8409090909090909,5.5
9,cluster_0,compact_support,0,10,all_valid,4,0.8636363636363636,0.9772727272727273,0.022727272727272728,0.8409090909090909,5.5
9,cluster_1,compact_support,1,8,cluster_1,4,0.6590909090909091,0.5681818181818182,0.11363636363636363,0.5454545454545454,5.5
9,cluster_1,compact_support,1,8,all_valid,4,0.6590909090909091,0.5681818181818182,0.11363636363636363,0.5454545454545454,5.5
9,global_core,global_aggregate,,10,cluster_1,10,0.9090909090909091,1.0227272727272727,0.22727272727272727,0.6818181818181818,5.5
9,global_core,global_aggregate,,10,all_valid,10,0.9090909090909091,1.0227272727272727,0.22727272727272727,0.6818181818181818,5.5
10,cluster_2,compact_support,2,12,all_valid,4,0.9375,0.9791666666666666,0.5208333333333334,0.41666666666666663,6.0
10,cluster_10,compact_support,10,11,all_valid,4,0.9375,0.9791666666666666,0.14583333333333334,0.7916666666666666,6.0
10,cluster_0,compact_support,0,10,all_valid,4,0.9375,0.9791666666666666,0.3125,0.625,6.0
10,cluster_1,compact_support,1,8,all_valid,4,0.8958333333333334,0.4791666666666667,0.375,0.5208333333333334,6.0
10,global_core,global_aggregate,,10,all_valid,10,0.9375,0.7291666666666666,0.16666666666666666,0.7708333333333334,6.0
11,cluster_2,compact_support,2,12,cluster_1,4,0.8307692307692308,0.9230769230769231,0.16923076923076924,0.6615384615384616,8.125
11,cluster_2,compact_support,2,12,all_valid,4,0.8307692307692308,0.9230769230769231,0.16923076923076924,0.6615384615384616,8.125
11,cluster_10,compact_support,10,11,cluster_1,4,0.8307692307692308,0.9230769230769231,0.4,0.4307692307692308,8.125
11,cluster_10,compact_support,10,11,all_valid,4,0.8307692307692308,0.9230769230769231,0.4,0.4307692307692308,8.125
11,cluster_0,compact_support,0,10,cluster_1,4,0.8307692307692308,0.9230769230769231,0.2153846153846154,0.6153846153846154,8.125
11,cluster_0,compact_support,0,10,all_valid,4,0.8307692307692308,0.9230769230769231,0.2153846153846154,0.6153846153846154,8.125
11,cluster_1,compact_support,1,8,cluster_1,4,0.7076923076923077,0.5692307692307692,0.4,0.3076923076923077,8.125
11,cluster_1,compact_support,1,8,all_valid,4,0.7076923076923077,0.5692307692307692,0.4,0.3076923076923077,8.125
11,global_core,global_aggregate,,10,cluster_1,10,0.8307692307692308,0.8923076923076924,-0.15384615384615385,0.9846153846153847,8.125
11,global_core,global_aggregate,,10,all_valid,10,0.8307692307692308,0.8923076923076924,-0.15384615384615385,0.9846153846153847,8.125
13,cluster_2,compact_support,2,12,all_valid,4,0.9024390243902439,0.8780487804878049,0.0,0.9024390243902439,5.125
13,cluster_10,compact_support,10,11,all_valid,4,0.9024390243902439,0.8780487804878049,0.0,0.9024390243902439,5.125
13,cluster_0,compact_support,0,10,all_valid,4,0.9024390243902439,0.8780487804878049,0.34146341463414637,0.5609756097560976,5.125
13,cluster_1,compact_support,1,8,all_valid,4,0.6585365853658537,0.5609756097560976,-0.0975609756097561,0.7560975609756098,5.125
13,global_core,global_aggregate,,10,all_valid,10,0.9024390243902439,0.9024390243902439,0.17073170731707318,0.7317073170731707,5.125
14,cluster_2,compact_support,2,12,all_valid,4,1.0,1.2222222222222223,-0.2777777777777778,1.2777777777777777,4.5
14,cluster_10,compact_support,10,11,all_valid,4,1.0,1.2222222222222223,-0.4166666666666667,1.4166666666666667,4.5
14,cluster_0,compact_support,0,10,all_valid,4,1.0,1.2222222222222223,0.05555555555555555,0.9444444444444444,4.5
14,cluster_1,compact_support,1,8,all_valid,4,0.5833333333333334,0.8055555555555556,0.0,0.5833333333333334,4.5
14,global_core,global_aggregate,,10,all_valid,10,0.9444444444444444,1.1111111111111112,0.3333333333333333,0.6111111111111112,4.5
15,cluster_2,compact_support,2,12,all_valid,4,0.9454545454545454,0.7454545454545455,-0.14545454545454545,1.0909090909090908,6.875
15,cluster_10,compact_support,10,11,all_valid,4,0.9454545454545454,0.7454545454545455,0.41818181818181815,0.5272727272727273,6.875
15,cluster_0,compact_support,0,10,all_valid,4,0.9454545454545454,0.7454545454545455,0.4727272727272727,0.4727272727272727,6.875
15,cluster_1,compact_support,1,8,all_valid,4,0.7454545454545455,0.41818181818181815,0.09090909090909091,0.6545454545454545,6.875
15,global_core,global_aggregate,,10,all_valid,10,0.9818181818181818,0.7454545454545455,0.2727272727272727,0.7090909090909091,6.875
16,cluster_2,compact_support,2,12,all_valid,4,1.0681818181818181,1.1818181818181819,0.022727272727272728,1.0454545454545454,5.5
16,cluster_10,compact_support,10,11,all_valid,4,1.0681818181818181,1.1818181818181819,0.11363636363636363,0.9545454545454545,5.5
16,cluster_0,compact_support,0,10,all_valid,4,1.0681818181818181,1.1818181818181819,0.13636363636363635,0.9318181818181818,5.5
