source,target,n_samples,source_nodes,target_nodes,source_target_jaccard,suff_median,delta_vs_random_median,suff_vs_within_ratio,delta_vs_within_ratio
cluster_12,cluster_2,12,14,14,0.5555555555555556,0.9492753623188406,0.5288461538461539,nan,nan
cluster_12,cluster_10,11,14,14,0.4,0.9333333333333333,0.5492957746478874,nan,nan
cluster_12,cluster_0,10,14,14,0.47368421052631576,0.9404336734693878,0.5675837320574163,nan,nan
cluster_12,cluster_1,8,14,14,0.47368421052631576,0.9208506555804286,0.659622641509434,nan,nan
cluster_2,cluster_10,11,14,14,0.6470588235294118,0.95,0.5833333333333333,0.9763888888888888,0.7930883639545057
cluster_2,cluster_0,10,14,14,0.6470588235294118,0.9489795918367347,0.6729323308270676,0.9753401360544218,0.9149053736703964
cluster_2,cluster_1,8,14,14,0.5555555555555556,0.944412191582003,0.5681818181818181,0.9706458635703918,0.7724886661894536
cluster_10,cluster_2,12,14,14,0.6470588235294118,0.9327122153209109,0.607910906298003,1.0316362381579773,0.8958687040181097
cluster_10,cluster_0,10,14,14,0.75,0.8983253588516746,0.7192154915590865,0.9936022908510947,1.0598965138765484
cluster_10,cluster_1,8,14,14,0.6470588235294118,0.9029421170450911,0.47881355932203384,0.9987087052165402,0.7056199821587866
cluster_0,cluster_2,12,14,14,0.6470588235294118,0.9727369921596578,0.5090886760009825,1.012019321069596,0.706071195923073
cluster_0,cluster_10,11,14,14,0.75,0.9464285714285714,0.6986301369863014,0.9846484795150093,0.9689522466000916
cluster_0,cluster_1,8,14,14,0.75,0.9481931563799169,0.7863636363636364,0.9864843242282503,1.0906326133968411
cluster_1,cluster_2,12,14,14,0.5555555555555556,0.9891304347826086,0.5899062327633756,1.024854496211139,0.9239495211956487
cluster_1,cluster_10,11,14,14,0.6470588235294118,0.9666666666666667,0.576923076923077,1.0015794124144026,0.9036144578313254
cluster_1,cluster_0,10,14,14,0.75,0.9631377551020408,0.6804255319148935,0.9979230484440297,1.0657267367341707
