source,source_build_mode,source_cluster_id,source_cluster_size,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_12,cluster_summary,12,26,cluster_2,12,14,0.9492753623188406,0.9922121126973877,0.9459459459459459,0.9573132344499995,0.44912747707778766,0.5288461538461539,0.5997369863800744,nan,nan
cluster_12,cluster_summary,12,26,cluster_10,11,14,0.9333333333333333,0.9021806913882343,0.9701492537313433,0.9949733020251069,0.4225352112676056,0.5492957746478874,0.4698843750108315,nan,nan
cluster_12,cluster_summary,12,26,cluster_0,10,14,0.9404336734693878,0.9354840136767564,1.1046461137646548,1.0979367497356907,0.30934426229508194,0.5675837320574163,0.6197401871142574,nan,nan
cluster_12,cluster_summary,12,26,cluster_1,8,14,0.9208506555804286,0.9093472792797226,1.0623927958833619,1.0449413381279453,0.3106849315068493,0.659622641509434,0.6495550094610587,nan,nan
cluster_12,cluster_summary,12,26,all_valid,139,14,0.95,0.9496404818885226,0.9552238805970149,0.9498109492506843,0.3360655737704918,0.5932203389830508,0.5746105377464682,nan,nan
cluster_2,cluster_summary,2,12,cluster_2,12,14,0.972972972972973,1.0214924304752642,1.002615518744551,0.9949460146992779,0.2761426978818283,0.7355212355212355,0.7308317238234121,1.0,1.0
cluster_2,cluster_summary,2,12,cluster_10,11,14,0.95,0.9627293632762086,1.0333333333333334,1.0579408195212863,0.3404255319148936,0.5833333333333333,0.5920929903634702,0.9763888888888888,0.7930883639545057
cluster_2,cluster_summary,2,12,cluster_0,10,14,0.9489795918367347,0.9438229636161172,1.0727312201476336,1.0972648846742579,0.19709989258861438,0.6729323308270676,0.711556937427185,0.9753401360544218,0.9149053736703964
cluster_2,cluster_summary,2,12,cluster_1,8,14,0.944412191582003,0.9361638125313756,1.0945540308747854,1.0588408982002835,0.4169811320754717,0.5681818181818181,0.6245162197257075,0.9706458635703918,0.7724886661894536
cluster_2,cluster_summary,2,12,all_valid,139,14,0.9871794871794872,0.9937159505570425,1.0,0.9984929177231826,0.3246753246753247,0.6086956521739131,0.6246333638352174,1.0146011396011396,0.8275704667351365
cluster_10,cluster_summary,10,11,cluster_2,12,14,0.9327122153209109,0.9675602542876661,0.9053295932678822,0.9250489350517853,0.3299319727891156,0.607910906298003,0.6301546188789845,1.0316362381579773,0.8958687040181097
cluster_10,cluster_summary,10,11,cluster_10,11,14,0.9041095890410958,0.9421921771200664,0.9701492537313433,1.0341204849678578,0.21428571428571427,0.6785714285714286,0.7972984590344718,1.0,1.0
cluster_10,cluster_summary,10,11,cluster_0,10,14,0.8983253588516746,0.9023009928233915,0.9897959183673469,1.0370574623715654,0.15171667182183732,0.7192154915590865,0.681262039980892,0.9936022908510947,1.0598965138765484
cluster_10,cluster_summary,10,11,cluster_1,8,14,0.9029421170450911,0.892047676018625,1.0321612349914235,1.0081580813281894,0.4359090909090909,0.47881355932203384,0.4592612683050967,0.9987087052165402,0.7056199821587866
cluster_10,cluster_summary,10,11,all_valid,139,14,0.9551282051282052,0.9659498296760434,0.9672131147540983,0.9605382426511707,0.4090909090909091,0.5538461538461539,0.590337013962221,1.0564296814296816,0.8161943319838056
cluster_0,cluster_summary,0,10,cluster_2,12,14,0.9727369921596578,1.0172908619098897,0.9675239755884917,0.9751289723504645,0.46920821114369504,0.5090886760009825,0.5975430219267863,1.012019321069596,0.706071195923073
cluster_0,cluster_summary,0,10,cluster_10,11,14,0.9464285714285714,0.974765808017089,1.05,1.0669619250508022,0.1917808219178082,0.6986301369863014,0.8223658089447387,0.9846484795150093,0.9689522466000916
cluster_0,cluster_summary,0,10,cluster_0,10,14,0.9611842105263158,0.9677981259536107,1.0940078158923146,1.1095957144566744,0.2822014051522248,0.7210160660008684,0.724676363309703,1.0,1.0
cluster_0,cluster_summary,0,10,cluster_1,8,14,0.9481931563799169,0.9417404291467083,1.0945540308747854,1.0592623945121908,0.21363636363636362,0.7863636363636364,0.782757996468619,0.9864843242282503,1.0906326133968411
cluster_0,cluster_summary,0,10,all_valid,139,14,1.0,1.0045770480587488,1.0,0.998143861043802,0.3488372093023256,0.6499999999999999,0.6895936599225924,1.0403832991101984,0.9015055706112616
cluster_1,cluster_summary,1,8,cluster_2,12,14,0.9891304347826086,1.0308026321510109,1.0161290322580645,1.0183639234947024,0.4539211342490031,0.5899062327633756,0.6368194714732137,1.024854496211139,0.9239495211956487
cluster_1,cluster_summary,1,8,cluster_10,11,14,0.9666666666666667,0.9829293546393757,1.0566037735849056,1.0918151567868764,0.43333333333333335,0.576923076923077,0.6533115224381804,1.0015794124144026,0.9036144578313254
cluster_1,cluster_summary,1,8,cluster_0,10,14,0.9631377551020408,0.9773700467389995,1.1148501953973078,1.137973464045625,0.2019402985074627,0.6804255319148935,0.7795415503226265,0.9979230484440297,1.0657267367341707
cluster_1,cluster_summary,1,8,cluster_1,8,14,0.9651423089222897,0.9552949411543199,1.1247855917667238,1.0873046990322783,0.25944055944055944,0.6384615384615384,0.670038821480529,1.0,1.0
cluster_1,cluster_summary,1,8,all_valid,139,14,1.0,1.019479337468257,1.0265486725663717,1.0290450046413813,0.34615384615384615,0.6619718309859155,0.6654139625822166,1.0361166335321406,1.036823349736976
global_core,global_aggregate,,10,cluster_2,12,10,0.8804347826086956,0.9191644765815797,0.8702664796633941,0.8994572272270078,0.18403263403263403,0.723116169544741,0.6993140615507701,nan,nan
global_core,global_aggregate,,10,cluster_10,11,10,0.9315068493150684,0.9263081977026296,0.9402985074626866,1.0273503355787974,0.22388059701492538,0.7611940298507462,0.6837452460406579,nan,nan
global_core,global_aggregate,,10,cluster_0,10,10,0.8297773654916512,0.8482209224315621,0.9374728614850196,0.996769654616727,0.4203131272581293,0.5106382978723404,0.5385376339063574,nan,nan
global_core,global_aggregate,,10,cluster_1,8,10,0.8553846153846154,0.8517164261160816,1.0019296740994854,0.9678770566241763,0.29825174825174827,0.5609579100145139,0.5876149160887257,nan,nan
global_core,global_aggregate,,10,all_valid,139,10,0.9090909090909091,0.9312348060988033,0.9387755102040817,0.9409527647212594,0.3448275862068966,0.6078431372549019,0.6100351791784702,nan,nan
