split_id,node,in_full_core
0,L17H8,1
0,L20H5,1
0,L21H1,1
0,L21H12,1
0,MLP22,1
0,L23H6,1
0,L24H6,1
0,MLP27,1
1,L17H8,1
1,L20H5,1
1,L21H1,1
1,L21H12,1
1,MLP22,1
1,L23H6,1
1,L24H6,1
1,MLP27,1
2,MLP11,1
2,L17H8,1
2,L20H5,1
2,L21H1,1
2,L21H12,1
2,MLP22,1
2,L23H6,1
2,L24H6,1
2,MLP27,1
3,L17H8,1
3,L20H5,1
3,L21H1,1
3,L21H12,1
3,MLP22,1
3,L23H6,1
3,L24H6,1
3,MLP27,1
4,MLP11,1
4,L17H8,1
4,L20H5,1
4,L21H1,1
4,L21H12,1
4,MLP22,1
4,L23H6,1
4,L24H6,1
4,MLP27,1
5,L17H8,1
5,L20H5,1
5,L21H1,1
5,L21H12,1
5,MLP22,1
5,L23H6,1
5,L24H6,1
5,MLP27,1
6,L17H8,1
6,L20H5,1
6,L21H1,1
6,L21H12,1
6,MLP22,1
6,L23H6,1
6,L24H6,1
6,MLP27,1
7,L17H8,1
7,L20H5,1
7,L21H1,1
7,L21H12,1
7,MLP22,1
7,L23H6,1
7,L24H6,1
7,MLP27,1
