q_index,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,error
1,skipped_resume,2.5,-2.25,4.75,1.0526315789473684,1.0789473684210527,1.0263157894736843,1.0789473684210527,L21H12,<tool_call>,Here,
2,skipped_resume,5.625,-1.75,7.375,1.0169491525423728,1.0338983050847457,0.9322033898305084,0.9322033898305084,L21H1,<tool_call>,Here,
3,skipped_resume,4.0,-4.25,8.25,1.0151515151515151,1.0151515151515151,0.8939393939393939,0.8939393939393939,L21H12,<tool_call>,Here,
4,skipped_resume,5.75,-0.75,6.5,0.9230769230769231,0.9807692307692307,0.9038461538461539,1.0192307692307692,L21H12,<tool_call>,Here,
5,skipped_resume,4.125,-4.75,8.875,0.9295774647887324,0.9295774647887324,0.8309859154929577,0.7746478873239436,L21H1,<tool_call>,Here,
6,skipped_resume,4.5,-0.125,4.625,1.054054054054054,1.054054054054054,0.7837837837837838,0.8378378378378378,L21H1,<tool_call>,Here,
7,skipped_resume,5.25,-1.0,6.25,0.98,0.98,0.94,0.98,L21H12,<tool_call>,Here,
8,skipped_resume,0.25,-8.75,9.0,1.0277777777777777,1.0,0.9444444444444444,0.875,L21H1,<tool_call>,To,
9,skipped_resume,4.625,-0.875,5.5,1.0227272727272727,1.0227272727272727,0.9090909090909091,0.9545454545454546,L21H1,<tool_call>,Here,
10,skipped_resume,4.625,-1.375,6.0,1.0,0.9583333333333334,0.8958333333333334,0.7916666666666666,L21H1,<tool_call>,Here,
11,skipped_resume,4.375,-3.75,8.125,0.9230769230769231,0.9692307692307692,0.8461538461538461,0.8615384615384616,L21H1,<tool_call>,Here,
12,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
13,skipped_resume,4.25,-0.875,5.125,1.024390243902439,1.024390243902439,0.9024390243902439,0.9024390243902439,L21H12,<tool_call>,Here,
14,skipped_resume,1.25,-3.25,4.5,1.0277777777777777,1.0,0.9166666666666666,0.9722222222222222,L21H12,<tool_call>,Here,
15,skipped_resume,3.25,-3.625,6.875,1.018181818181818,0.9818181818181818,0.9454545454545454,0.9636363636363636,L21H12,<tool_call>,Here,
16,skipped_resume,0.5,-5.0,5.5,1.0909090909090908,1.0909090909090908,0.8409090909090909,0.8863636363636364,L21H12,<tool_call>,Here,
17,skipped_resume,3.5,-3.875,7.375,0.9830508474576272,0.9661016949152542,0.9322033898305084,0.864406779661017,L21H12,<tool_call>,Here,
18,skipped_resume,3.375,-1.875,5.25,1.0952380952380953,1.0714285714285714,1.0,1.0476190476190477,L21H12,<tool_call>,Here,
19,skipped_resume,1.875,-6.375,8.25,0.9242424242424242,0.9090909090909091,0.8636363636363636,0.803030303030303,L21H12,<tool_call>,Here,
20,skipped_resume,4.5,-0.625,5.125,1.0731707317073171,1.1219512195121952,0.9512195121951219,0.926829268292683,L21H12,<tool_call>,Here,
21,skipped_resume,5.125,-4.5,9.625,0.948051948051948,0.974025974025974,0.8831168831168831,0.8701298701298701,L21H1,<tool_call>,Here,
22,skipped_resume,4.625,-7.125,11.75,0.9680851063829787,0.9468085106382979,0.9680851063829787,0.9468085106382979,L21H1,<tool_call>,Here,
23,skipped_resume,2.375,-3.75,6.125,0.8979591836734694,0.8571428571428571,0.7959183673469388,0.8367346938775511,L21H1,<tool_call>,Here,
24,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
25,skipped_resume,6.125,-0.875,7.0,1.0,0.9821428571428571,0.8392857142857143,0.75,L21H12,<tool_call>,Here,
26,skipped_resume,3.625,-3.0,6.625,1.0,1.0566037735849056,0.9056603773584906,0.9245283018867925,L21H12,<tool_call>,Here,
27,skipped_resume,0.375,-7.25,7.625,1.0,0.9836065573770492,0.9016393442622951,0.8852459016393442,L21H12,<tool_call>,Here,
28,skipped_resume,3.0,-2.5,5.5,1.0,1.0681818181818181,0.8863636363636364,0.9318181818181818,L21H12,<tool_call>,Here,
29,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
30,skipped_resume,4.25,-2.125,6.375,1.0,0.9803921568627451,0.9019607843137255,0.8431372549019608,L21H12,<tool_call>,Here,
31,skipped_resume,4.375,-1.125,5.5,1.1136363636363635,1.1136363636363635,0.9318181818181818,0.8636363636363636,L21H12,<tool_call>,Here,
32,skipped_resume,5.375,-3.5,8.875,0.9154929577464789,0.9014084507042254,0.7605633802816901,0.7183098591549296,L21H1,<tool_call>,Here,
33,skipped_resume,2.125,-5.5,7.625,1.0,0.9836065573770492,0.8688524590163934,0.8524590163934426,L21H12,<tool_call>,Here,
34,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
35,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
36,skipped_resume,5.625,-1.5,7.125,0.9824561403508771,0.9824561403508771,0.9298245614035088,0.8947368421052632,L21H1,<tool_call>,Here,
37,skipped_resume,4.5,-3.0,7.5,0.9166666666666666,0.9333333333333333,0.8666666666666667,0.9333333333333333,L21H1,<tool_call>,Here,
38,skipped_resume,4.875,-1.375,6.25,0.98,1.02,0.94,0.98,L21H12,<tool_call>,Here,
39,skipped_resume,5.75,-0.875,6.625,0.9056603773584906,0.9433962264150944,0.8490566037735849,0.8301886792452831,L21H1,<tool_call>,Here,
40,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
41,skipped_resume,4.125,-4.75,8.875,1.0422535211267605,1.028169014084507,0.971830985915493,0.971830985915493,L21H12,<tool_call>,To,
42,skipped_resume,-6.375,-12.75,6.375,0.8235294117647058,0.8333333333333334,0.7647058823529411,0.7156862745098039,L24H6,<tool_call>,The,
43,skipped_resume,5.25,-3.375,8.625,0.8985507246376812,0.9130434782608695,0.8260869565217391,0.8405797101449275,L21H1,<tool_call>,Here,
44,skipped_resume,2.75,-5.875,8.625,0.9855072463768116,0.9855072463768116,0.9565217391304348,1.0,L21H12,<tool_call>,Here,
45,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
46,skipped_resume,5.5,-2.25,7.75,0.9838709677419355,1.0161290322580645,0.9354838709677419,0.9193548387096774,L21H12,<tool_call>,Here,
47,skipped_resume,2.5,0.0,2.5,2.1,2.1,2.05,1.55,L21H1,<tool_call>,I,
48,skipped_resume,3.25,-4.125,7.375,0.9322033898305084,0.9152542372881356,0.864406779661017,0.8813559322033898,L21H12,<tool_call>,Here,
49,skipped_resume,4.875,-2.625,7.5,1.0,1.0333333333333334,0.85,0.8833333333333333,L21H12,<tool_call>,Here,
50,skipped_resume,2.0,-3.875,5.875,1.1063829787234043,1.1063829787234043,1.0,1.0425531914893618,L21H1,<tool_call>,Here,
51,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
52,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
53,skipped_resume,5.25,-0.625,5.875,1.0638297872340425,1.0425531914893618,0.8936170212765957,0.9148936170212766,L21H12,<tool_call>,Here,
54,skipped_resume,6.625,-2.625,9.25,0.972972972972973,0.9594594594594594,0.8648648648648649,0.8378378378378378,L21H1,<tool_call>,Here,
55,skipped_resume,6.0,-0.625,6.625,0.9811320754716981,1.0,0.8679245283018868,0.8679245283018868,L21H12,<tool_call>,Here,
56,skipped_resume,4.0,-4.375,8.375,0.9701492537313433,0.9552238805970149,0.9253731343283582,0.8805970149253731,L21H12,<tool_call>,Here,
57,skipped_resume,3.375,-2.125,5.5,1.0909090909090908,1.0681818181818181,0.9318181818181818,0.9318181818181818,L21H12,<tool_call>,Here,
58,skipped_resume,3.875,-2.625,6.5,0.9807692307692307,1.0192307692307692,0.9230769230769231,0.9230769230769231,L21H12,<tool_call>,Here,
59,skipped_resume,5.125,-2.25,7.375,1.0,1.0169491525423728,0.847457627118644,0.8983050847457628,L21H12,<tool_call>,Here,
60,skipped_resume,4.25,-1.875,6.125,1.0,1.0408163265306123,0.9183673469387755,0.9795918367346939,L21H12,<tool_call>,Here,
61,skipped_resume,6.5,-0.125,6.625,1.0,1.0188679245283019,0.8867924528301887,0.9056603773584906,L21H12,<tool_call>,Here,
62,skipped_resume,4.25,-0.125,4.375,1.0857142857142856,1.1142857142857143,0.8571428571428571,0.8857142857142857,L21H12,<tool_call>,Here,
63,skipped_resume,5.25,0.0,5.25,0.9523809523809523,1.0,0.9761904761904762,1.0,L21H12,<tool_call>,Here,
64,skipped_resume,-0.5,-5.25,4.75,1.236842105263158,1.4473684210526316,1.1578947368421053,1.394736842105263,L21H1,<tool_call>,I,
65,skipped_resume,0.75,-6.625,7.375,0.9830508474576272,1.0338983050847457,0.9152542372881356,1.0,L21H12,<tool_call>,Here,
66,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
67,skipped_resume,5.375,-3.25,8.625,0.8405797101449275,0.855072463768116,0.8115942028985508,0.7246376811594203,L21H1,<tool_call>,Here,
68,skipped_resume,4.875,-2.625,7.5,0.9666666666666667,1.0,0.9,0.8833333333333333,L21H1,<tool_call>,Here,
69,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
70,skipped_resume,-0.5,-4.75,4.25,0.9705882352941176,1.0,0.8529411764705882,0.8823529411764706,L21H1,<tool_call>,Here,
71,skipped_resume,5.25,-4.625,9.875,0.9493670886075949,0.9367088607594937,0.8860759493670886,0.8987341772151899,L21H1,<tool_call>,Here,
72,skipped_resume,2.875,-4.0,6.875,0.9636363636363636,1.018181818181818,0.8545454545454545,0.9454545454545454,L21H1,<tool_call>,Here,
