node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
L21H1,21,1.0,0.8475609756097561,0.5562500086697665,0.5791339864981774
L21H12,21,1.0,0.8475609756097561,0.5482638676961263,0.5622086864450683
L17H8,17,0.9931782113249857,0.8414634146341463,0.3929022081179544,0.41030705185030925
MLP27,27,0.9845689043274684,0.8353658536585366,0.38333333333333336,0.38149371189664366
L23H6,23,0.950260062746907,0.8048780487804879,0.3267176514738923,0.3309515127793519
L20H5,20,0.9344488053162195,0.7865853658536586,0.3071314004751352,0.32070213152797294
MLP22,22,0.8485897488461681,0.725609756097561,0.22535211267605634,0.2319984050105814
L24H6,24,0.8368413383464255,0.7134146341463414,0.3985035318723867,0.40863777954152053
MLP11,11,0.5222285027794794,0.4329268292682927,0.1590909090909091,0.1677563903042242
MLP20,20,0.5052055075063221,0.43902439024390244,0.17997777072086377,0.18310798136989054
MLP25,25,0.49805238615947267,0.4146341463414634,0.16326530612244897,0.15778953398001835
MLP19,19,0.4197025145634401,0.3475609756097561,0.168141592920354,0.1664700884067301
L13H11,13,0.37956001877862233,0.3170731707317073,0.10720290599190689,0.10189945508402619
L10H2,10,0.36800710803176456,0.3170731707317073,0.10782960686755702,0.11985472291073568
MLP4,4,0.3619562737278615,0.31097560975609756,0.13114754098360656,0.13856402687384745
L6H0,6,0.35170299638844565,0.2926829268292683,0.08442220087494318,0.08688763482452333
MLP8,8,0.30788870453364864,0.2621951219512195,0.1509433962264151,0.15024726456899637
MLP3,3,0.2685082676927471,0.22560975609756098,0.136986301369863,0.12473520745344625
L17H2,17,0.2061610003481556,0.17073170731707318,0.26278554433022594,0.27890686714998014
MLP16,16,0.1875337815687629,0.15853658536585366,0.1785807803089814,0.19881942004151285
L11H1,11,0.17149455213741743,0.14634146341463414,0.09584229871649749,0.10105709813053183
MLP5,5,0.1636225427592473,0.1402439024390244,0.12,0.12611824581107914
MLP6,6,0.15340591143865748,0.12804878048780488,0.11864406779661017,0.11039942204554155
L8H14,8,0.13871610215852032,0.11585365853658537,0.09934630685923052,0.10113814809285471
MLP7,7,0.1382925073519276,0.12195121951219512,0.13226744186046513,0.14396420386005832
MLP18,18,0.13455369912619125,0.11585365853658537,0.1956521739130435,0.210914003316398
L9H13,9,0.10978404341699317,0.09146341463414634,0.13270692567567569,0.14127472557392082
MLP13,13,0.10352954497793655,0.09146341463414634,0.10204081632653061,0.1290708317512602
MLP0,0,0.09833350742078627,0.08536585365853659,0.08852672750977836,0.10595893435941284
L12H14,12,0.09178932100423358,0.07926829268292683,0.08531605113636363,0.09524195646008621
L20H14,20,0.08159971409566469,0.06707317073170732,0.21742424820408676,0.21517331003761206
L16H13,16,0.07957540141213797,0.06707317073170732,0.33725491692038145,0.3382681050523853
MLP15,15,0.07440693738820389,0.06097560975609756,0.17698658410732715,0.18930221355610882
L11H5,11,0.07296573302593318,0.06097560975609756,0.10897905176336115,0.10635671059756509
MLP1,1,0.06450115217721321,0.054878048780487805,0.06818181818181818,0.08754188653984574
L10H6,10,0.0638817669456859,0.054878048780487805,0.1123798076923077,0.11468942760031012
L11H9,11,0.059215318628845846,0.04878048780487805,0.07444356436171307,0.10492968229618643
L5H15,5,0.05861631231882613,0.04878048780487805,0.07069754600524902,0.07822510746520794
L12H5,12,0.056972825653260235,0.04878048780487805,0.08590793085622264,0.09173654977175791
L19H8,19,0.05064790113150334,0.042682926829268296,0.2691489280538356,0.2884905136128499
L12H3,12,0.04809248348610482,0.042682926829268296,0.08694957603107799,0.08016505023010766
L4H11,4,0.04552651975024985,0.036585365853658534,0.0701418647198094,0.07168867905919767
MLP9,9,0.044559477141747475,0.036585365853658534,0.1085909273384183,0.13295031591072493
L0H6,0,0.0444558945542605,0.036585365853658534,0.07074767448630603,0.07578450353083922
