q_index,weight,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,ap_mode
1,1.0,4.75,1.0526315789473684,1.0789473684210527,full
2,1.0,7.375,1.0169491525423728,1.0338983050847457,full
3,1.0,8.25,1.0151515151515151,1.0151515151515151,full
4,0.9053254437869822,6.5,0.9230769230769231,0.9807692307692307,full
5,0.864114263043047,8.875,0.9295774647887324,0.9295774647887324,full
6,1.0,4.625,1.054054054054054,1.054054054054054,full
7,0.9603999999999999,6.25,0.98,0.98,full
8,1.0,9.0,1.0277777777777777,1.0,full
9,1.0,5.5,1.0227272727272727,1.0227272727272727,full
10,0.9583333333333334,6.0,1.0,0.9583333333333334,full
11,0.8946745562130178,8.125,0.9230769230769231,0.9692307692307692,full
12,0.0,0.0,nan,nan,full
13,1.0,5.125,1.024390243902439,1.024390243902439,full
14,1.0,4.5,1.0277777777777777,1.0,full
15,0.9818181818181818,6.875,1.018181818181818,0.9818181818181818,full
16,1.0,5.5,1.0909090909090908,1.0909090909090908,full
17,0.9497270899166906,7.375,0.9830508474576272,0.9661016949152542,full
18,1.0,5.25,1.0952380952380953,1.0714285714285714,full
19,0.8402203856749311,8.25,0.9242424242424242,0.9090909090909091,full
20,1.0,5.125,1.0731707317073171,1.1219512195121952,full
21,0.9234272221285208,9.625,0.948051948051948,0.974025974025974,full
22,0.9165912177455863,11.75,0.9680851063829787,0.9468085106382979,full
23,0.7696793002915452,6.125,0.8979591836734694,0.8571428571428571,full
24,0.0,0.0,nan,nan,full
25,0.9821428571428571,7.0,1.0,0.9821428571428571,full
26,1.0,6.625,1.0,1.0566037735849056,full
27,0.9836065573770492,7.625,1.0,0.9836065573770492,full
28,1.0,5.5,1.0,1.0681818181818181,full
29,0.0,0.0,nan,nan,full
30,0.9803921568627451,6.375,1.0,0.9803921568627451,full
31,1.0,5.5,1.1136363636363635,1.1136363636363635,full
32,0.8252330886728824,8.875,0.9154929577464789,0.9014084507042254,full
33,0.9836065573770492,7.625,1.0,0.9836065573770492,full
34,0.0,0.0,nan,nan,full
35,0.0,0.0,nan,nan,full
36,0.9652200677131424,7.125,0.9824561403508771,0.9824561403508771,full
37,0.8555555555555555,7.5,0.9166666666666666,0.9333333333333333,full
38,0.98,6.25,0.98,1.02,full
39,0.8543965824136703,6.625,0.9056603773584906,0.9433962264150944,full
40,0.0,0.0,nan,nan,full
41,1.0,8.875,1.0422535211267605,1.028169014084507,full
42,0.6862745098039216,6.375,0.8235294117647058,0.8333333333333334,full
43,0.8204158790170132,8.625,0.8985507246376812,0.9130434782608695,full
44,0.9712245326612057,8.625,0.9855072463768116,0.9855072463768116,full
45,0.0,0.0,nan,nan,full
46,0.9838709677419355,7.75,0.9838709677419355,1.0161290322580645,full
47,1.0,2.5,2.1,2.1,full
48,0.8532031025567365,7.375,0.9322033898305084,0.9152542372881356,full
49,1.0,7.5,1.0,1.0333333333333334,full
50,1.0,5.875,1.1063829787234043,1.1063829787234043,full
51,0.0,0.0,nan,nan,full
52,0.0,0.0,nan,nan,full
53,1.0,5.875,1.0638297872340425,1.0425531914893618,full
54,0.9335281227173119,9.25,0.972972972972973,0.9594594594594594,full
55,0.9811320754716981,6.625,0.9811320754716981,1.0,full
56,0.9267097349075518,8.375,0.9701492537313433,0.9552238805970149,full
57,1.0,5.5,1.0909090909090908,1.0681818181818181,full
58,0.9807692307692307,6.5,0.9807692307692307,1.0192307692307692,full
59,1.0,7.375,1.0,1.0169491525423728,full
60,1.0,6.125,1.0,1.0408163265306123,full
61,1.0,6.625,1.0,1.0188679245283019,full
62,1.0,4.375,1.0857142857142856,1.1142857142857143,full
63,0.9523809523809523,5.25,0.9523809523809523,1.0,full
64,1.0,4.75,1.236842105263158,1.4473684210526316,full
65,0.9830508474576272,7.375,0.9830508474576272,1.0338983050847457,full
66,0.0,0.0,nan,nan,full
67,0.7187565637471119,8.625,0.8405797101449275,0.855072463768116,full
68,0.9666666666666667,7.5,0.9666666666666667,1.0,full
69,0.0,0.0,nan,nan,full
70,0.9705882352941176,4.25,0.9705882352941176,1.0,full
71,0.8892805640121775,9.875,0.9493670886075949,0.9367088607594937,full
72,0.9636363636363636,6.875,0.9636363636363636,1.018181818181818,full
73,0.8489042675893888,6.375,0.9411764705882353,0.9019607843137255,full
74,0.9859154929577465,8.875,1.0,0.9859154929577465,full
75,0.8418522672648614,9.875,0.9367088607594937,0.8987341772151899,full
76,1.0,5.5,1.0227272727272727,1.0,full
77,0.759167043911272,5.875,0.9148936170212766,0.8297872340425532,full
78,0.8137996219281662,5.75,0.9130434782608695,0.8913043478260869,full
79,0.0,0.0,nan,nan,full
80,0.0,0.0,nan,nan,full
81,0.8035077288941737,7.25,0.9137931034482759,0.8793103448275862,full
82,0.9084201388888888,12.0,0.9479166666666666,0.9583333333333334,full
83,0.9534883720930233,5.375,0.9534883720930233,1.0930232558139534,full
84,1.0,5.0,1.175,1.15,full
85,0.9376702451530203,9.875,0.9620253164556962,0.9746835443037974,full
86,0.0,0.0,nan,nan,full
87,0.9329803719008265,11.0,0.9659090909090909,0.9659090909090909,full
88,1.0,3.625,1.103448275862069,1.2413793103448276,full
89,1.0,8.625,1.0,1.0289855072463767,full
90,0.89413988657845,5.75,0.9347826086956522,0.9565217391304348,full
