q_index,cluster_id,cluster_size,weight
1,0,10,1.0
26,0,10,1.0
27,0,10,0.9836065573770492
38,0,10,0.98
50,0,10,1.0
53,0,10,1.0
56,0,10,0.9267097349075518
60,0,10,1.0
156,0,10,1.0
162,0,10,0.9751562500000001
2,1,8,1.0
7,1,8,0.9603999999999999
9,1,8,1.0
11,1,8,0.8946745562130178
55,1,8,0.9811320754716981
76,1,8,1.0
103,1,8,0.9846153846153847
164,1,8,0.9459560893225746
3,2,12,1.0
4,2,12,0.9053254437869822
6,2,12,1.0
18,2,12,1.0
23,2,12,0.7696793002915452
33,2,12,0.9836065573770492
44,2,12,0.9712245326612057
46,2,12,0.9838709677419355
78,2,12,0.8137996219281662
91,2,12,0.7555029585798817
100,2,12,1.0
133,2,12,1.0
8,3,1,1.0
13,4,2,1.0
30,4,2,0.9803921568627451
14,5,2,1.0
106,5,2,1.0
16,6,1,1.0
20,7,2,1.0
58,7,2,0.9807692307692307
28,8,1,1.0
31,9,1,1.0
21,10,11,0.9234272221285208
22,10,11,0.9165912177455863
25,10,11,0.9821428571428571
37,10,11,0.8555555555555555
41,10,11,1.0
61,10,11,1.0
71,10,11,0.8892805640121775
92,10,11,1.0
155,10,11,1.0
158,10,11,0.9122298952996214
163,10,11,1.0
47,11,1,1.0
12,12,26,0.0
24,12,26,0.0
29,12,26,0.0
34,12,26,0.0
35,12,26,0.0
40,12,26,0.0
45,12,26,0.0
49,12,26,1.0
51,12,26,0.0
52,12,26,0.0
66,12,26,0.0
69,12,26,0.0
79,12,26,0.0
80,12,26,0.0
86,12,26,0.0
93,12,26,0.0
99,12,26,0.0
110,12,26,0.0
114,12,26,0.0
116,12,26,0.0
125,12,26,0.0
127,12,26,0.0
128,12,26,0.0
132,12,26,0.0
154,12,26,0.0
160,12,26,0.0
57,13,1,1.0
15,14,2,0.9818181818181818
59,14,2,1.0
10,15,2,0.9583333333333334
62,15,2,1.0
64,16,1,1.0
84,17,1,1.0
88,18,1,1.0
89,19,2,1.0
145,19,2,1.0
94,20,1,1.0
108,21,3,1.0
113,21,3,0.9023999999999999
126,21,3,0.9470663265306122
109,22,2,1.0
115,22,2,1.0
120,23,1,1.0
135,24,2,1.0
150,24,2,0.9050925925925926
140,25,1,1.0
157,26,1,1.0
96,27,3,0.9070294784580498
97,27,3,0.7985513807152557
159,27,3,1.0
48,28,3,0.8532031025567365
118,28,3,0.9591836734693877
121,28,3,0.9911504424778761
74,29,3,0.9859154929577465
98,29,3,0.8456632653061225
119,29,3,0.888470841171728
122,30,2,0.9070294784580498
147,30,2,0.9859154929577465
129,31,1,0.9846153846153847
65,32,1,0.9830508474576272
101,33,3,0.9057918420670634
138,33,3,0.7511111111111112
149,33,3,0.9811320754716981
105,34,2,0.926954732510288
151,34,2,0.9795918367346939
134,35,1,0.9777777777777777
146,36,1,0.9743589743589743
70,37,2,0.9705882352941176
75,37,2,0.8418522672648614
68,38,1,0.9666666666666667
36,39,1,0.9652200677131424
72,40,1,0.9636363636363636
83,41,1,0.9534883720930233
148,42,1,0.9534883720930233
63,43,2,0.9523809523809523
112,43,2,0.853869572183945
139,44,1,0.9512195121951219
17,45,2,0.9497270899166906
43,45,2,0.8204158790170132
136,46,1,0.9444444444444444
85,47,1,0.9376702451530203
54,48,1,0.9335281227173119
67,49,2,0.7187565637471119
87,49,2,0.9329803719008265
137,50,2,0.9298245614035088
143,50,2,0.8984375
141,51,1,0.9267097349075518
124,52,1,0.9256198347107438
77,53,3,0.759167043911272
104,53,3,0.9205624543462381
131,53,3,0.8579881656804734
144,54,1,0.9194436979306638
82,55,1,0.9084201388888888
90,56,1,0.89413988657845
153,57,1,0.8841612831365561
123,58,1,0.8728836334318731
102,59,1,0.8667617335234671
5,60,1,0.864114263043047
39,61,1,0.8543965824136703
152,62,1,0.8517011834319527
73,63,1,0.8489042675893888
19,64,1,0.8402203856749311
161,65,1,0.8373964497041421
111,66,1,0.8304758852747958
32,67,1,0.8252330886728824
142,68,1,0.8204158790170132
117,69,1,0.806952025280092
81,70,1,0.8035077288941737
107,71,1,0.774
95,72,1,0.7420118343195267
42,73,1,0.6862745098039216
130,74,1,0.5119113573407202
