node,node_role,n_pairs,baseline_median,shifted_median,delta_median,delta_mean,delta_ci_lo,delta_ci_hi
MLP20,Aux MLP,139,-0.03703703703703698,0.0,0.043156059285091475,0.043888159949787155,0.03475258918296875,0.05220125786163521
MLP22,Support Suppressor MLP,139,-0.020408163265306034,0.0,0.020725779100877917,0.023035958199982137,0.015000000000000124,0.025249722530521712
MLP11,Aux MLP,139,0.015151515151515138,0.02857142857142858,0.01491901108269389,0.010155790724493994,0.005341880341880323,0.021768707482993088
MLP27,Primary Writer MLP,139,-0.022727272727272707,-0.010869565217391353,0.012857142857143011,0.01509121789694459,0.0013605442176869431,0.01871905940594054
L24H6,Tool-Tag Reader / Distractor Suppressor,139,0.0,0.0,-0.004215456674473095,-0.0030086733773718797,-0.013739266198282696,0.0
L21H1,Format Router / Target+Suppressor,139,0.036363636363636376,0.02941176470588225,-0.0060606060606061,-0.007522027774523885,-0.01072124756335291,-1.1102230246251565e-16
L17H8,Format Router / Target+Suppressor,139,0.040000000000000036,0.03125,-0.006666666666666599,-0.015036151673470066,-0.01202346041055724,-0.002651113467656341
L23H6,Format Router / Distractor Suppressor,139,0.022222222222222143,0.01666666666666672,-0.012258064516128986,-0.009395881226420419,-0.01584385763490237,-0.005833333333333135
L20H5,Query Reader / Distractor Suppressor,139,0.018181818181818188,0.0,-0.012462612163509412,-0.008248046781175458,-0.015625,-0.003968253968253954
L21H12,Format Router / Target+Suppressor,139,0.08333333333333337,0.0674157303370787,-0.01891447368421062,-0.01859148491329981,-0.022716627634660425,-0.013753327417923789
