node,node_role,n_pairs,baseline_median,shifted_median,delta_median,delta_mean,delta_ci_lo,delta_ci_hi
MLP27,Primary Writer MLP,139,-0.022727272727272707,0.13020833333333326,0.14081632653061216,0.15801936610453288,0.12745974955277284,0.15463337831758883
MLP20,Aux MLP,139,-0.03703703703703698,0.08247422680412364,0.13149038461538465,0.12491680478538099,0.11646136618141112,0.1358024691358024
MLP22,Support Suppressor MLP,139,-0.020408163265306034,-0.007692307692307665,0.01494214876033051,0.01620270470108038,0.010000000000000009,0.02124542124542128
L23H6,Format Router / Distractor Suppressor,139,0.022222222222222143,0.024691358024691357,0.0033670033670033517,0.0031281252854396618,-0.0036525974025972685,0.006448531167900673
L20H5,Query Reader / Distractor Suppressor,139,0.018181818181818188,0.0,-0.012239165329052892,-0.009804784607602235,-0.016949152542372947,-0.007312252964426946
L17H8,Format Router / Target+Suppressor,139,0.040000000000000036,0.016393442622950838,-0.023873873873873963,-0.0280418066995616,-0.0267285289222855,-0.018252212389380573
L21H1,Format Router / Target+Suppressor,139,0.036363636363636376,0.014084507042253502,-0.024449421425905116,-0.02363748943157833,-0.027744431105775735,-0.01851851851851849
MLP11,Aux MLP,139,0.015151515151515138,-0.013157894736842146,-0.030000000000000027,-0.027817496890793898,-0.03413516609392897,-0.021091811414392092
L24H6,Tool-Tag Reader / Distractor Suppressor,139,0.0,-0.04225352112676051,-0.04915590863952324,-0.05102140607949966,-0.05928421819506424,-0.04225352112676051
L21H12,Format Router / Target+Suppressor,139,0.08333333333333337,0.012658227848101333,-0.07692307692307698,-0.07678042083273699,-0.08270202020202022,-0.07220174360774678
