node,node_role,n_samples,node_suff_median,node_suff_ci_lo,node_suff_ci_hi,node_nec_median,node_nec_ci_lo,node_nec_ci_hi,minus_node_suff_median,minus_node_nec_median,drop_full_suff_median,drop_full_suff_ci_lo,drop_full_suff_ci_hi,drop_full_nec_median,drop_full_nec_ci_lo,drop_full_nec_ci_hi,rank_drop_full_nec,rank_node_suff,stability_freq,stratum
MLP27,Primary Writer MLP,139,0.4576271186440678,0.4482758620689655,0.4716981132075472,0.3893805309734513,0.3824701195219123,0.4018264840182648,0.863013698630137,0.8378378378378378,0.1129032258064516,0.0975609756097561,0.1235955056179775,0.1302083333333332,0.1036036036036035,0.1404494382022472,1,2,1.0,stable_necessary_backbone
L23H6,Format Router / Distractor Suppressor,139,0.3164556962025316,0.3116883116883117,0.3292682926829268,0.2115384615384615,0.1904761904761904,0.2285714285714285,0.9642857142857144,0.9363057324840764,0.016,0.0136986301369863,0.0189573459715639,0.0246913580246913,0.0217391304347827,0.0277777777777776,3,6,1.0,stable_necessary_backbone
L17H8,Format Router / Target+Suppressor,139,0.2205882352941176,0.2,0.2356687898089172,0.1985815602836879,0.180327868852459,0.2098765432098765,0.9646017699115044,0.9497716894977168,0.0131578947368422,0.0121951219512195,0.0166666666666666,0.0163934426229508,0.0131578947368421,0.0193548387096773,4,8,1.0,stable_but_weak_or_redundant
L21H1,Format Router / Target+Suppressor,139,0.3881278538812785,0.3580246913580246,0.4100719424460431,0.2647058823529412,0.2432432432432432,0.2872340425531915,0.9629629629629628,0.9506172839506172,0.0126582278481013,0.0111111111111111,0.0153846153846153,0.0140845070422535,0.0108695652173912,0.0166666666666666,5,5,1.0,stable_but_weak_or_redundant
L21H12,Format Router / Target+Suppressor,139,0.4430379746835443,0.4320987654320987,0.4556962025316455,0.3278688524590163,0.3,0.3657142857142857,0.9673469387755104,0.952,0.0143884892086331,0.0126582278481013,0.0166666666666666,0.0126582278481013,0.0080645161290322,0.015625,6,4,1.0,stable_but_weak_or_redundant
L20H5,Query Reader / Distractor Suppressor,139,0.2419354838709677,0.2234042553191489,0.25,0.180722891566265,0.1690140845070422,0.1944444444444444,0.967479674796748,0.9545454545454546,0.0101010101010101,0.0,0.0114285714285714,0.0,0.0,0.0063694267515923,7,7,1.0,stable_but_weak_or_redundant
MLP22,Support Suppressor MLP,139,0.0982142857142857,0.079136690647482,0.1159420289855072,0.0631578947368421,0.0531914893617021,0.0714285714285714,0.981132075471698,0.9782608695652174,0.0,-0.0105263157894737,0.0,-0.0076923076923076,-0.0161290322580645,0.0,8,9,1.0,stable_but_weak_or_redundant
L24H6,Tool-Tag Reader / Distractor Suppressor,139,0.4754098360655737,0.4596774193548387,0.4943820224719101,0.3636363636363636,0.3525179856115107,0.3829787234042553,1.0,1.0105263157894735,-0.0140845070422535,-0.0189573459715639,-0.0121951219512194,-0.0422535211267605,-0.0481927710843372,-0.0333333333333333,10,1,1.0,stable_but_weak_or_redundant
MLP20,Aux MLP,139,0.4473684210526316,0.4202898550724637,0.4666666666666667,0.3953488372093023,0.3625730994152046,0.4316546762589928,0.92,0.8884462151394422,0.0602409638554216,0.0522875816993464,0.0652173913043477,0.0824742268041236,0.0722891566265059,0.0923076923076923,2,3,0.6666666666666666,unstable_but_necessary
MLP11,Aux MLP,139,0.0652173913043478,0.0465116279069767,0.081967213114754,0.0684931506849315,0.0461538461538461,0.0891719745222929,0.9701492537313432,0.9836734693877552,0.0,0.0,0.0130718954248365,-0.0131578947368421,-0.0193548387096773,-0.0064516129032257,9,10,0.6666666666666666,unstable_weak
