q_index,gap,orig_suff_ratio,orig_nec_ratio,refined_suff_ratio,refined_nec_ratio,k_local,n_refined_nodes,n_orig_nodes
1,4.75,1.0526315789473684,1.0789473684210527,0.9736842105263158,0.9736842105263158,0,10,16
2,7.375,1.0169491525423728,1.0338983050847457,0.9152542372881356,0.9491525423728814,0,10,16
3,8.25,1.0151515151515151,1.0151515151515151,0.9393939393939394,0.9393939393939394,0,10,16
4,6.5,0.9230769230769231,0.9807692307692307,0.8653846153846154,0.9230769230769231,0,10,16
5,8.875,0.9295774647887324,0.9295774647887324,0.9154929577464789,0.9436619718309859,0,10,16
6,4.625,1.054054054054054,1.054054054054054,0.8378378378378378,0.8918918918918919,0,10,16
7,6.25,0.98,0.98,0.9,0.92,0,10,16
8,9.0,1.0277777777777777,1.0,1.0138888888888888,1.0277777777777777,0,10,16
9,5.5,1.0227272727272727,1.0227272727272727,0.9318181818181818,1.0227272727272727,0,10,16
10,6.0,1.0,0.9583333333333334,0.9166666666666666,0.875,0,10,16
11,8.125,0.9230769230769231,0.9692307692307692,0.8769230769230769,0.9076923076923077,0,10,16
12,0.0,nan,nan,nan,nan,0,10,10
13,5.125,1.024390243902439,1.024390243902439,0.926829268292683,0.975609756097561,0,10,16
14,4.5,1.0277777777777777,1.0,1.0277777777777777,1.0555555555555556,0,10,16
15,6.875,1.018181818181818,0.9818181818181818,0.8909090909090909,0.9090909090909091,0,10,16
16,5.5,1.0909090909090908,1.0909090909090908,0.9318181818181818,0.9090909090909091,0,10,16
17,7.375,0.9830508474576272,0.9661016949152542,0.9322033898305084,0.9322033898305084,0,10,16
18,5.25,1.0952380952380953,1.0714285714285714,0.9047619047619048,0.9523809523809523,0,10,16
19,8.25,0.9242424242424242,0.9090909090909091,0.8939393939393939,0.8787878787878788,0,10,16
20,5.125,1.0731707317073171,1.1219512195121952,0.975609756097561,1.0,0,10,16
21,9.625,0.948051948051948,0.974025974025974,0.935064935064935,0.974025974025974,0,10,16
22,11.75,0.9680851063829787,0.9468085106382979,0.9148936170212766,0.9148936170212766,0,10,16
23,6.125,0.8979591836734694,0.8571428571428571,0.8571428571428571,0.8367346938775511,0,10,16
24,0.0,nan,nan,nan,nan,0,10,10
25,7.0,1.0,0.9821428571428571,0.8928571428571429,0.8571428571428571,0,10,16
26,6.625,1.0,1.0566037735849056,0.8867924528301887,0.9245283018867925,0,10,16
27,7.625,1.0,0.9836065573770492,0.9672131147540983,0.9180327868852459,0,10,16
28,5.5,1.0,1.0681818181818181,0.8863636363636364,0.9318181818181818,0,10,16
29,0.0,nan,nan,nan,nan,0,10,10
30,6.375,1.0,0.9803921568627451,0.9215686274509803,0.9019607843137255,0,10,16
31,5.5,1.1136363636363635,1.1136363636363635,0.9318181818181818,0.9318181818181818,0,10,16
32,8.875,0.9154929577464789,0.9014084507042254,0.8732394366197183,0.8732394366197183,0,10,16
33,7.625,1.0,0.9836065573770492,0.8852459016393442,0.8852459016393442,0,10,16
34,0.0,nan,nan,nan,nan,0,10,10
35,0.0,nan,nan,nan,nan,0,10,10
36,7.125,0.9824561403508771,0.9824561403508771,0.8596491228070176,0.8596491228070176,0,10,16
37,7.5,0.9166666666666666,0.9333333333333333,0.8833333333333333,0.9,0,10,16
38,6.25,0.98,1.02,0.92,0.94,0,10,16
39,6.625,0.9056603773584906,0.9433962264150944,0.8679245283018868,0.8679245283018868,0,10,16
40,0.0,nan,nan,nan,nan,0,10,10
41,8.875,1.0422535211267605,1.028169014084507,1.0140845070422535,0.9859154929577465,0,10,16
42,6.375,0.8235294117647058,0.8333333333333334,0.9215686274509803,0.9019607843137255,0,10,16
43,8.625,0.8985507246376812,0.9130434782608695,0.8695652173913043,0.8695652173913043,0,10,16
44,8.625,0.9855072463768116,0.9855072463768116,0.9420289855072463,0.9710144927536232,0,10,16
45,0.0,nan,nan,nan,nan,0,10,10
46,7.75,0.9838709677419355,1.0161290322580645,0.8548387096774194,0.8870967741935484,0,10,16
47,2.5,2.1,2.1,1.1,1.25,0,10,16
48,7.375,0.9322033898305084,0.9152542372881356,0.8983050847457628,0.8813559322033898,0,10,16
49,7.5,1.0,1.0333333333333334,0.9,0.9166666666666666,0,10,16
50,5.875,1.1063829787234043,1.1063829787234043,0.9148936170212766,0.9148936170212766,0,10,16
51,0.0,nan,nan,nan,nan,0,10,10
52,0.0,nan,nan,nan,nan,0,10,10
53,5.875,1.0638297872340425,1.0425531914893618,0.8723404255319149,0.8723404255319149,0,10,16
54,9.25,0.972972972972973,0.9594594594594594,0.8918918918918919,0.8783783783783784,0,10,16
55,6.625,0.9811320754716981,1.0,0.8867924528301887,0.8867924528301887,0,10,16
56,8.375,0.9701492537313433,0.9552238805970149,0.8805970149253731,0.8656716417910447,0,10,16
57,5.5,1.0909090909090908,1.0681818181818181,0.8863636363636364,0.9090909090909091,0,10,16
58,6.5,0.9807692307692307,1.0192307692307692,0.9038461538461539,0.9230769230769231,0,10,16
59,7.375,1.0,1.0169491525423728,0.8983050847457628,0.9322033898305084,0,10,16
60,6.125,1.0,1.0408163265306123,0.8979591836734694,0.9591836734693877,0,10,16
61,6.625,1.0,1.0188679245283019,0.8490566037735849,0.8679245283018868,0,10,16
62,4.375,1.0857142857142856,1.1142857142857143,0.9428571428571428,0.9428571428571428,0,10,16
63,5.25,0.9523809523809523,1.0,0.8809523809523809,0.9285714285714286,0,10,16
64,4.75,1.236842105263158,1.4473684210526316,1.105263157894737,1.236842105263158,0,10,16
65,7.375,0.9830508474576272,1.0338983050847457,0.9152542372881356,1.0,0,10,16
66,0.0,nan,nan,nan,nan,0,10,10
67,8.625,0.8405797101449275,0.855072463768116,0.8405797101449275,0.855072463768116,0,10,16
68,7.5,0.9666666666666667,1.0,0.9666666666666667,0.9833333333333333,0,10,16
69,0.0,nan,nan,nan,nan,0,10,10
70,4.25,0.9705882352941176,1.0,0.8823529411764706,0.9411764705882353,0,10,16
71,9.875,0.9493670886075949,0.9367088607594937,0.8987341772151899,0.9240506329113924,0,10,16
72,6.875,0.9636363636363636,1.018181818181818,0.8545454545454545,0.9090909090909091,0,10,16
73,6.375,0.9411764705882353,0.9019607843137255,0.9019607843137255,0.8431372549019608,0,10,16
74,8.875,1.0,0.9859154929577465,0.9295774647887324,0.9436619718309859,0,10,16
75,9.875,0.9367088607594937,0.8987341772151899,0.9113924050632911,0.9367088607594937,0,10,16
76,5.5,1.0227272727272727,1.0,0.8863636363636364,0.9318181818181818,0,10,16
77,5.875,0.9148936170212766,0.8297872340425532,0.851063829787234,0.851063829787234,0,10,16
78,5.75,0.9130434782608695,0.8913043478260869,0.8695652173913043,0.9130434782608695,0,10,16
79,0.0,nan,nan,nan,nan,0,10,10
80,0.0,nan,nan,nan,nan,0,10,10
81,7.25,0.9137931034482759,0.8793103448275862,0.9310344827586207,0.896551724137931,0,10,16
82,12.0,0.9479166666666666,0.9583333333333334,0.8958333333333334,0.9270833333333334,0,10,16
83,5.375,0.9534883720930233,1.0930232558139534,0.8604651162790697,0.8837209302325582,0,10,16
84,5.0,1.175,1.15,1.125,1.2,0,10,16
85,9.875,0.9620253164556962,0.9746835443037974,0.8987341772151899,0.8987341772151899,0,10,16
86,0.0,nan,nan,nan,nan,0,10,10
87,11.0,0.9659090909090909,0.9659090909090909,0.9318181818181818,0.9659090909090909,0,10,16
88,3.625,1.103448275862069,1.2413793103448276,0.9310344827586207,1.206896551724138,0,10,16
89,8.625,1.0,1.0289855072463767,0.9855072463768116,1.0289855072463767,0,10,16
90,5.75,0.9347826086956522,0.9565217391304348,0.8913043478260869,0.8913043478260869,0,10,16
91,8.125,0.8615384615384616,0.8769230769230769,0.8923076923076924,0.9076923076923077,0,10,16
92,3.25,1.2692307692307692,1.2692307692307692,1.2307692307692308,1.3461538461538463,0,10,16
93,0.0,nan,nan,nan,nan,0,10,10
94,5.375,1.186046511627907,1.2325581395348837,0.8604651162790697,0.9069767441860465,0,10,16
95,8.125,0.8769230769230769,0.8461538461538461,0.8769230769230769,0.8307692307692308,0,10,16
96,5.25,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.8809523809523809,0,10,16
97,5.875,0.8936170212765957,0.8936170212765957,0.8936170212765957,0.8723404255319149,0,10,16
98,7.0,0.9107142857142857,0.9285714285714286,0.875,0.8928571428571429,0,10,16
99,0.0,nan,nan,nan,nan,0,10,10
100,7.375,1.0169491525423728,1.0,0.9152542372881356,0.9661016949152542,0,10,16
101,10.375,0.963855421686747,0.9397590361445783,0.891566265060241,0.927710843373494,0,10,16
102,15.875,0.9448818897637795,0.9173228346456693,0.937007874015748,0.9291338582677166,0,10,16
103,8.125,0.9846153846153847,1.0307692307692307,0.9076923076923077,0.9230769230769231,0,10,16
104,9.25,0.9594594594594594,0.9594594594594594,0.9054054054054054,0.9594594594594594,0,10,16
105,6.75,0.9444444444444444,0.9814814814814815,0.9074074074074074,0.9444444444444444,0,10,16
106,8.25,1.0606060606060606,1.0454545454545454,0.9545454545454546,0.9393939393939394,0,10,16
107,6.25,0.86,0.9,0.82,0.9,0,10,16
108,9.75,1.064102564102564,1.0769230769230769,1.0769230769230769,1.1282051282051282,0,10,16
109,3.625,1.1379310344827587,1.1724137931034482,1.206896551724138,1.2413793103448276,0,10,16
110,0.0,nan,nan,nan,nan,0,10,10
111,9.875,0.9240506329113924,0.8987341772151899,1.0,1.0126582278481013,0,10,16
112,9.875,0.9240506329113924,0.9240506329113924,0.9240506329113924,0.9113924050632911,0,10,16
113,6.25,0.94,0.96,0.94,0.88,0,10,16
114,0.0,nan,nan,nan,nan,0,10,10
115,7.375,1.11864406779661,1.1355932203389831,1.1016949152542372,1.1694915254237288,0,10,16
116,0.0,nan,nan,nan,nan,0,10,10
117,7.375,0.8983050847457628,0.8983050847457628,0.8813559322033898,0.847457627118644,0,10,16
118,6.125,1.0204081632653061,0.9591836734693877,0.9591836734693877,0.9387755102040817,0,10,16
119,7.625,0.9344262295081968,0.9508196721311475,0.9180327868852459,0.9180327868852459,0,10,16
120,2.25,1.3888888888888888,1.4166666666666667,1.0,0.9444444444444444,0,10,16
121,14.125,0.9911504424778761,1.0,0.9823008849557522,0.9911504424778761,0,10,16
122,7.875,0.9523809523809523,0.9523809523809523,0.8571428571428571,0.8571428571428571,0,10,16
123,7.625,0.9180327868852459,0.9508196721311475,0.9344262295081968,0.9344262295081968,0,10,16
124,8.25,0.9545454545454546,0.9696969696969697,0.8939393939393939,0.8636363636363636,0,10,16
125,0.0,nan,nan,nan,nan,0,10,10
126,7.0,0.9642857142857143,0.9821428571428571,0.9107142857142857,0.9285714285714286,0,10,16
127,0.0,nan,nan,nan,nan,0,10,10
128,0.0,nan,nan,nan,nan,0,10,10
129,8.125,0.9846153846153847,1.0307692307692307,1.0,1.1076923076923078,0,10,16
130,4.75,0.868421052631579,0.8421052631578947,0.8157894736842105,0.7631578947368421,0,10,16
131,9.75,0.9294871794871795,0.9230769230769231,0.8717948717948718,0.8717948717948718,0,10,16
132,0.0,nan,nan,nan,nan,0,10,10
133,4.625,1.0810810810810811,1.1081081081081081,0.972972972972973,0.918918918918919,0,10,16
134,5.625,1.0,0.9777777777777777,0.9111111111111111,0.8888888888888888,0,10,16
135,5.875,1.148936170212766,1.1702127659574468,1.1914893617021276,1.2553191489361701,0,10,16
136,6.75,0.9444444444444444,1.0185185185185186,0.8888888888888888,0.9444444444444444,0,10,16
137,7.125,0.9298245614035088,1.0,0.9122807017543859,0.9298245614035088,0,10,16
138,5.625,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8888888888888888,0,10,16
139,5.125,1.0,0.9512195121951219,0.9512195121951219,0.9024390243902439,0,10,16
