q_index,group,n_nodes,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,delta_full_suff_drop,delta_full_nec_drop,gap
1,full_core,10,0.9210526315789473,1.0263157894736843,nan,nan,0.0,0.0,4.75
1,contextual_supporter,4,0.7368421052631579,0.8947368421052632,0.8421052631578947,0.9736842105263158,0.07894736842105265,0.052631578947368474,4.75
1,essential_backbone,3,0.9473684210526315,1.368421052631579,0.7105263157894737,0.8421052631578947,0.21052631578947367,0.1842105263157896,4.75
1,redundant_or_interfering,3,0.42105263157894735,0.4473684210526316,1.131578947368421,1.263157894736842,-0.21052631578947367,-0.23684210526315774,4.75
1,all_heads,6,1.0789473684210527,1.263157894736842,0.5,0.6578947368421053,0.42105263157894735,0.368421052631579,4.75
1,all_mlps,4,0.5,0.6578947368421053,1.0789473684210527,1.263157894736842,-0.1578947368421053,-0.23684210526315774,4.75
2,full_core,10,0.9180327868852459,0.9508196721311475,nan,nan,0.0,0.0,7.625
2,contextual_supporter,4,0.6721311475409836,0.5409836065573771,0.9016393442622951,0.9016393442622951,0.016393442622950838,0.0491803278688524,7.625
2,essential_backbone,3,0.8852459016393442,0.9508196721311475,0.7213114754098361,0.6885245901639344,0.19672131147540983,0.2622950819672131,7.625
2,redundant_or_interfering,3,0.5245901639344263,0.4098360655737705,1.0163934426229508,1.0655737704918034,-0.09836065573770492,-0.11475409836065587,7.625
2,all_heads,6,1.0,1.098360655737705,0.5573770491803278,0.4262295081967213,0.3606557377049181,0.5245901639344261,7.625
2,all_mlps,4,0.5573770491803278,0.4262295081967213,1.0,1.098360655737705,-0.08196721311475408,-0.14754098360655754,7.625
3,full_core,10,0.9038461538461539,0.9230769230769231,nan,nan,0.0,0.0,6.5
3,contextual_supporter,4,0.6923076923076923,0.7115384615384616,0.8846153846153846,0.9038461538461539,0.019230769230769273,0.019230769230769273,6.5
3,essential_backbone,3,0.8846153846153846,1.0,0.7307692307692307,0.7115384615384616,0.17307692307692313,0.21153846153846156,6.5
3,redundant_or_interfering,3,0.5384615384615384,0.4230769230769231,1.0384615384615385,1.1346153846153846,-0.1346153846153847,-0.21153846153846145,6.5
3,all_heads,6,1.0384615384615385,1.1346153846153846,0.5,0.46153846153846156,0.40384615384615385,0.46153846153846156,6.5
3,all_mlps,4,0.5,0.46153846153846156,1.0384615384615385,1.1346153846153846,-0.1346153846153847,-0.21153846153846145,6.5
4,full_core,10,0.8163265306122449,0.8979591836734694,nan,nan,0.0,0.0,6.125
