q_index,node,node_type,gap,full_ratio,top1_ratio,top3_ratio,contrast_ratio,tool_call_tags_ratio,tools_block_ratio,user_block_ratio,attn_contrast_clean,attn_tool_call_tags_clean,attn_tools_block_clean,attn_user_block_clean,attn_recent_32_clean,attn_prefix_16_clean,attn_contrast_corrupt,attn_tool_call_tags_corrupt,attn_tools_block_corrupt,attn_user_block_corrupt,attn_recent_32_corrupt,attn_prefix_16_corrupt,top1_pos,top1_token,top1_category,target_logit_delta,distractor_logit_delta,top_positive_tokens
1,L17H8,head,4.75,0.34210526315789475,0.07894736842105263,0.15789473684210525,0.0,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.0023368706461042166,0.004158759489655495,0.0,0.1536322683095932,0.10683492571115494,0.21838338673114777,0.009376036003232002,0.00236640521325171,0.0,0.234100341796875,0.11707241833209991,0.33516886830329895,0,<|im_start|>,other,0.5,-1.125, ● | 周岁 |  either | 边界 | callable
1,L20H5,head,4.75,0.2894736842105263,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.18421052631578946,0.0002999015850946307,0.01057913526892662,0.0,0.3885665833950043,0.17846521735191345,0.04846549779176712,0.0005742257926613092,0.0072856443002820015,0.0,0.5193572640419006,0.17162279784679413,0.04405026137828827,139,.py,user_block,0.375,-1.0, charged | 驺 |  ++)\n | 鹕 | CDATA
1,L21H1,head,4.75,0.4473684210526316,-0.07894736842105263,0.39473684210526316,-0.07894736842105263,0.0,-0.07894736842105263,-0.05263157894736842,0.001236746204085648,0.04116136580705643,0.0,0.17991161346435547,0.025800880044698715,0.4887259304523468,0.00030673047876916826,0.017792675644159317,0.0,0.23206210136413574,0.02827218361198902,0.5526190400123596,0,<|im_start|>,other,1.0,-1.125, RTWF |  ● | 减持 | <tool_call> |  drilled
1,L21H12,head,4.75,0.5263157894736842,0.4473684210526316,0.4473684210526316,-0.07894736842105263,-0.05263157894736842,-0.13157894736842105,-0.02631578947368421,0.004046604037284851,0.019385602325201035,0.0,0.07378004491329193,0.05292881280183792,0.13018754124641418,0.00043969572288915515,0.012284280732274055,0.0,0.20484986901283264,0.09767618030309677,0.17684175074100494,111,\n,other,0.875,-1.625,闪电 |  ● | 川 | 巡航 |  timers
1,L23H6,head,4.75,0.2894736842105263,0.0,0.23684210526315788,0.0,0.0,0.0,-0.07894736842105263,0.0009228117414750159,0.006395961157977581,0.0,0.06641638278961182,0.10221420228481293,0.46574893593788147,0.0007255388773046434,0.0060284677892923355,0.0,0.12730379402637482,0.16217567026615143,0.42964068055152893,0,<|im_start|>,other,0.5,-0.875,(Float | 减持 | 用车 | 开车 | 川
1,L24H6,head,4.75,0.2631578947368421,0.42105263157894735,0.42105263157894735,-0.02631578947368421,0.4473684210526316,0.0,-0.13157894736842105,3.2954190828604624e-05,0.8959624767303467,0.0,0.027675455436110497,0.013900631107389927,0.05148182436823845,0.00024228761321865022,0.7387633323669434,0.0,0.07052703946828842,0.0396161787211895,0.12602855265140533,105,<tool_call>,tool_call_tags,0.125,-1.125, � | 间 |  � |  � |  Linux
1,MLP11,mlp,4.75,0.2631578947368421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,0.375,-0.875,且 | 曰 | 开车 | manship | _Float
1,MLP20,mlp,4.75,0.02631578947368421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,0.125,0.0,	def |  def | 驼 |  isOpen | def
1,MLP22,mlp,4.75,0.15789473684210525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,0.375,-0.375, vol | 情 |  loaf | 毒性 | 开车
1,MLP27,mlp,4.75,0.34210526315789475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1,,,0.5,-1.125,错过 | 快三 | Ĩ | 还可以 | 或者其他
2,L17H8,head,7.375,0.4067796610169492,0.05084745762711865,0.11864406779661017,0.03389830508474576,0.06779661016949153,0.06779661016949153,0.1016949152542373,0.0025785185862332582,0.007731164805591106,0.0,0.1555771380662918,0.07428058981895447,0.18825778365135193,0.014960020780563354,0.002956483978778124,0.0,0.25654470920562744,0.07799741625785828,0.34165093302726746,0,<|im_start|>,other,1.125,-1.875, either | <tool_call> | -Headers |  letters |  freshly
2,L20H5,head,7.375,0.22033898305084745,0.0847457627118644,0.15254237288135594,0.03389830508474576,0.03389830508474576,0.01694915254237288,0.11864406779661017,0.0001219774130731821,0.020783621817827225,0.0,0.2965705692768097,0.177505224943161,0.035329751670360565,0.00027246956597082317,0.012095480225980282,0.0,0.5234962701797485,0.16677244007587433,0.03655465692281723,29,></,other,0.5,-1.125, Affero |  orally |  oral |  charged |  overd
