edge,n_samples,source_ratio_median,blocked_ratio_median,edge_ratio_median,edge_ratio_mean,edge_ratio_ci_lo,edge_ratio_ci_hi,positive_frac
L21H12->L23H6,139,0.48484848484848486,0.40404040404040403,0.07547169811320753,0.08054254070689947,0.0735294117647059,0.08163265306122447,1.0
L21H1->MLP27,139,0.48148148148148145,0.25,0.23255813953488372,0.24479200227028777,0.21999999999999997,0.24324324324324326,1.0
L17H8->MLP19,139,0.379746835443038,0.2926829268292683,0.078125,0.0873230544571316,0.0714285714285714,0.08620689655172414,0.9856115107913669
L17H8->L21H12,139,0.379746835443038,0.2839506172839506,0.09090909090909088,0.10002516338452609,0.08196721311475408,0.0980392156862745,1.0
L21H1->L23H6,139,0.48148148148148145,0.4,0.08510638297872342,0.08857465956623956,0.08108108108108103,0.0892857142857143,1.0
L21H12->L24H6,139,0.48484848484848486,0.2804878048780488,0.19672131147540983,0.1985696409595152,0.1836734693877551,0.21052631578947367,1.0
L21H12->MLP27,139,0.48484848484848486,0.27419354838709675,0.20754716981132076,0.21451167716798977,0.19672131147540983,0.22058823529411764,1.0
L23H6->L24H6,139,0.3025210084033613,0.14,0.16666666666666669,0.16696621333118233,0.15492957746478872,0.18032786885245902,1.0
MLP19->L20H5,139,0.08860759493670886,0.13157894736842105,-0.04054054054054054,-0.04000070321789239,-0.047619047619047616,-0.029411764705882353,0.1510791366906475
L21H12->MLP25,139,0.48484848484848486,0.42857142857142855,0.04545454545454547,0.04137965854267503,0.04040404040404039,0.04878048780487809,0.920863309352518
L21H1->L24H6,139,0.48148148148148145,0.26785714285714285,0.2222222222222222,0.2171077023742797,0.19444444444444442,0.2295081967213115,1.0
L20H5->L21H1,139,0.2878787878787879,0.23255813953488372,0.06521739130434784,0.06918870417557714,0.05263157894736843,0.0769230769230769,0.9928057553956835
MLP25->Residual Output: <tool_call>,139,0.13559322033898305,0.0,0.13559322033898305,0.09882629583094392,0.125,0.14705882352941177,0.8633093525179856
L21H1->MLP25,139,0.48148148148148145,0.45161290322580644,0.03125,0.027523595521675475,0.02702702702702703,0.034090909090909116,0.8920863309352518
L17H8->L21H1,139,0.379746835443038,0.26,0.11363636363636365,0.12108554752663112,0.10909090909090907,0.12,1.0
L24H6->Residual Output: <tool_call>,139,0.36619718309859156,0.0,0.36619718309859156,0.3691019763751535,0.3275862068965517,0.39473684210526316,1.0
L17H8->L20H5,139,0.379746835443038,0.3469387755102041,0.02985074626865669,0.03343502494899768,0.021276595744680826,0.03409090909090909,0.7913669064748201
MLP11->L17H8,139,0.1,0.02,0.07462686567164178,0.07720852964605701,0.06666666666666668,0.0851063829787234,0.9280575539568345
MLP27->Residual Output: <tool_call>,139,0.3793103448275862,0.0,0.3793103448275862,0.3793592126603045,0.358974358974359,0.3939393939393939,1.0
L20H5->L21H12,139,0.2878787878787879,0.21818181818181817,0.07894736842105263,0.0812691761030598,0.07142857142857145,0.08695652173913046,0.9928057553956835
L21H12->MLP22,139,0.48484848484848486,0.43548387096774194,0.044117647058823484,0.04697286901918278,0.040816326530612235,0.04878048780487804,0.9856115107913669
L21H1->MLP22,139,0.48148148148148145,0.43137254901960786,0.04651162790697677,0.04646884935536967,0.04081632653061229,0.052631578947368474,0.935251798561151
L24H6->MLP25,139,0.36619718309859156,0.32786885245901637,0.03278688524590162,0.030987607716587255,0.02816901408450706,0.0357142857142857,0.8992805755395683
MLP22->L23H6,139,0.21818181818181817,0.1917808219178082,0.023255813953488358,0.022662510426286076,0.020000000000000018,0.02777777777777779,0.7553956834532374
L17H8->MLP20,139,0.379746835443038,0.34210526315789475,0.03278688524590162,0.036320448513462965,0.02439024390243899,0.038461538461538436,0.8129496402877698
MLP22->L24H6,139,0.21818181818181817,0.1111111111111111,0.1038961038961039,0.10179969901504946,0.09302325581395349,0.11570247933884298,0.9856115107913669
MLP20->L21H12,139,0.11475409836065574,0.0967741935483871,0.022222222222222223,0.026641337086713516,0.015384615384615385,0.03636363636363636,0.6402877697841727
L24H6->MLP27,139,0.36619718309859156,0.175,0.18518518518518517,0.1920112446077804,0.16981132075471697,0.20588235294117646,1.0
MLP20->L21H1,139,0.11475409836065574,0.061224489795918366,0.05454545454545454,0.05768331429131399,0.04411764705882354,0.06557377049180327,0.9280575539568345
L23H6->Residual Output: <tool_call>,139,0.3025210084033613,0.0,0.3025210084033613,0.30573737919354976,0.2962962962962963,0.3140495867768595,1.0
Input Embed->MLP11,139,1.0,0.8909090909090909,0.10909090909090913,0.10753551096628162,0.09836065573770492,0.13235294117647056,0.8776978417266187
