edge,n_samples,source_ratio_median,blocked_ratio_median,edge_ratio_median,edge_ratio_mean,edge_ratio_ci_lo,edge_ratio_ci_hi,positive_frac
L21H12->L23H6,126,0.4811253561253561,0.4,0.07435046987285793,0.07576783004528496,0.07335007173601149,0.07947368421052634,1.0
L21H1->MLP27,126,0.47320574162679424,0.24837662337662336,0.22474489795918368,0.22921297225857235,0.21276595744680848,0.2406235349273324,1.0
L17H8->MLP19,126,0.3777137793531236,0.2909090909090909,0.0782781862745098,0.08200565126816262,0.07229965156794421,0.08620689655172414,0.9920634920634921
L17H8->L21H12,126,0.3777137793531236,0.2807017543859649,0.08888888888888889,0.09243137857662571,0.08163265306122447,0.09468339307048987,1.0
L21H1->L23H6,126,0.47320574162679424,0.3893596986817326,0.0819672131147541,0.08424773771553082,0.07898841354723707,0.08823529411764708,1.0
L21H12->L24H6,126,0.4811253561253561,0.2792407660738714,0.19672131147540983,0.193672455561767,0.18183673469387757,0.21052631578947367,1.0
L21H12->MLP27,126,0.4811253561253561,0.2719568567026194,0.20389266817838242,0.20318463423442637,0.19498847926267282,0.21875,1.0
L23H6->L24H6,126,0.3023255813953488,0.14073503521126762,0.16321353065539113,0.1608503338178177,0.15094339622641506,0.1758454106280193,1.0
MLP19->L20H5,126,0.10002041232904674,0.13849431818181818,-0.04210992907801418,-0.04353895444042637,-0.05178571428571428,-0.03265795787789923,0.11904761904761904
L21H12->MLP25,126,0.4811253561253561,0.42592592592592593,0.046875,0.04875649393264421,0.044281045751633996,0.05263157894736842,0.9761904761904762
L21H1->L24H6,126,0.47320574162679424,0.2627264883520276,0.22086720867208673,0.21179303784898285,0.1897974493623406,0.22950819672131145,1.0
L20H5->L21H1,126,0.2867965367965368,0.23255813953488372,0.06002400960384155,0.06579509855081761,0.051397754787585306,0.07317073170731708,0.9920634920634921
MLP25->Residual Output: <tool_call>,126,0.14400921658986177,0.0,0.14400921658986177,0.12804043076859337,0.13043478260869565,0.1483983983983984,0.9444444444444444
L21H1->MLP25,126,0.47320574162679424,0.4470884658454647,0.03225806451612909,0.033224344906805536,0.02898550724637683,0.036363636363636376,0.9365079365079365
L17H8->L21H1,126,0.3777137793531236,0.2571662571662572,0.11294180175391974,0.11603577914911722,0.10840188014101057,0.1181455633100698,1.0
L24H6->Residual Output: <tool_call>,126,0.36491677336747763,0.0,0.36491677336747763,0.3635657057489781,0.323642664613015,0.391304347826087,1.0
L17H8->L20H5,126,0.3777137793531236,0.343183779119931,0.03030998851894376,0.03149419095113029,0.023458810692853216,0.03508771929824561,0.8095238095238095
MLP11->L17H8,126,0.09974424552429667,0.02212121212121212,0.07259552042160738,0.07380572674726231,0.06201923076923077,0.08135686707115278,0.9285714285714286
MLP27->Residual Output: <tool_call>,126,0.3761792452830189,0.0,0.3761792452830189,0.37904860185808686,0.3583497606308082,0.3939393939393939,1.0
L20H5->L21H12,126,0.2867965367965368,0.21846590909090907,0.07692307692307693,0.07696263722647166,0.06768208886852953,0.08163265306122451,0.9920634920634921
L21H12->MLP22,126,0.4811253561253561,0.4298029556650246,0.04255319148936168,0.04431300333546191,0.03934468524251808,0.047449362340585166,0.9841269841269841
L21H1->MLP22,126,0.47320574162679424,0.42619825708061,0.04444444444444445,0.045118551228803906,0.040816326530612235,0.05117852466171979,0.9365079365079365
L24H6->MLP25,126,0.36491677336747763,0.3274294670846395,0.032786885245901676,0.03313327931047786,0.030303030303030276,0.037037037037037035,0.9206349206349206
MLP22->L23H6,126,0.2141687141687142,0.18558673469387754,0.024316334072431653,0.02379869855246793,0.020408163265306117,0.03007688828584351,0.7777777777777778
L17H8->MLP20,126,0.3777137793531236,0.34054302807179015,0.03125,0.033532454430339136,0.023823028927963674,0.037037037037037035,0.8095238095238095
MLP22->L24H6,126,0.2141687141687142,0.10859950859950859,0.0999445138021917,0.09995239753420058,0.09259259259259259,0.11237373737373738,0.9920634920634921
MLP20->L21H12,126,0.11267605633802817,0.09449404761904762,0.020620748299319733,0.022925339764899303,0.014599317988064794,0.03252247488101534,0.6190476190476191
L24H6->MLP27,126,0.36491677336747763,0.1728151075977163,0.18200066912010707,0.1870457019726423,0.16666666666666666,0.2061157796451914,1.0
MLP20->L21H1,126,0.11267605633802817,0.058265582655826556,0.05358851674641148,0.05874566686061872,0.04411764705882354,0.06557377049180327,0.9444444444444444
L23H6->Residual Output: <tool_call>,126,0.3023255813953488,0.0,0.3023255813953488,0.3026281687169514,0.29508196721311475,0.3114754098360656,1.0
Input Embed->MLP11,126,1.0,0.8844444444444444,0.11555555555555558,0.11628368860006368,0.10169491525423724,0.13235294117647056,0.9047619047619048
