node,role,full_ratio_median,target_logit_delta_median
MLP11,Weak MLP,0.033672480620155036,0.0625
L17H8,Format Router / Target+Suppressor,0.34941956882255387,1.0
MLP20,Aux MLP,0.14871273712737126,0.5
L20H5,Query Reader / Distractor Suppressor,0.30698447893569847,0.625
L21H1,Format Router / Target+Suppressor,0.47279716144293316,1.4375
L21H12,Format Router / Target+Suppressor,0.45009955201592833,1.25
MLP22,Support Suppressor MLP,0.25922266139657446,0.625
L23H6,Format Router / Distractor Suppressor,0.30063795853269537,0.75
L24H6,Tool-Tag Reader / Distractor Suppressor,0.4039462866538778,0.625
MLP27,Primary Writer MLP,0.4164079822616408,1.125
