edge,n_samples,source_ratio_median,blocked_ratio_median,edge_ratio_median,edge_ratio_mean,edge_ratio_ci_lo,edge_ratio_ci_hi,positive_frac
L20H5->L21H12,20,0.27753837866953945,0.20425901781833986,0.07036914963744233,0.06173413463778175,0.04924924924924924,0.0784313725490196,0.95
L17H8->L20H5,20,0.3910077264507644,0.3397172447805359,0.033438897168405354,0.0325751366284215,0.01827849783981389,0.04819624819624821,0.75
L17H8->L21H12,20,0.3910077264507644,0.298582995951417,0.07590404582885785,0.08407092316995671,0.06493506493506496,0.0980392156862745,1.0
L24H6->Residual Output: <tool_call>,20,0.3049062049062049,0.0,0.3049062049062049,0.3228309158630808,0.2496732026143791,0.40223232740801984,1.0
MLP11->L17H8,20,0.15894736842105261,0.06742424242424241,0.08528740402573148,0.08565901972506526,0.07508771929824562,0.10416666666666666,0.95
L21H1->MLP27,20,0.44562647754137114,0.2455988455988456,0.20330237358101133,0.20632402584560147,0.17777777777777778,0.22222222222222224,1.0
L21H1->L24H6,20,0.44562647754137114,0.2697505197505198,0.15737874097007223,0.17881127139665853,0.1307692307692308,0.21145101281521292,1.0
L21H1->L23H6,20,0.44562647754137114,0.3763888888888889,0.08108108108108106,0.075448303559039,0.07389830508474576,0.08510638297872336,1.0
L21H12->MLP27,20,0.4678030303030303,0.2829175329175329,0.19405220367993156,0.18220696954377266,0.15484515484515488,0.21052631578947367,1.0
L20H5->L21H1,20,0.27753837866953945,0.23174798174798175,0.055161943319838064,0.0611078202867291,0.04624429624429624,0.08108108108108109,1.0
L21H12->L24H6,20,0.4678030303030303,0.29864864864864865,0.17246506095747843,0.17073739661830553,0.13529411764705881,0.21052631578947367,1.0
L17H8->L21H1,20,0.3910077264507644,0.26624472573839664,0.10810810810810811,0.1095936332560707,0.10015597147950088,0.12054652369422345,1.0
MLP27->Residual Output: <tool_call>,20,0.35555555555555557,0.0,0.35555555555555557,0.35426876719222855,0.33771929824561403,0.39075114075114076,1.0
L21H12->L23H6,20,0.4678030303030303,0.3929824561403509,0.07643622200584227,0.07476811656773667,0.06768208886852953,0.08333333333333331,1.0
L23H6->L24H6,20,0.2885122410546139,0.1431707317073171,0.14459930313588848,0.14326294786811605,0.10810810810810811,0.17788323267184353,1.0
L21H12->MLP22,20,0.4678030303030303,0.4298523206751055,0.04210992907801414,0.043584299258572844,0.033342595165323674,0.05334281650071121,1.0
L21H1->MLP22,20,0.44562647754137114,0.4183185235816815,0.046812386156648456,0.04727747102093392,0.04027027027027022,0.06002400960384152,0.9
L24H6->MLP27,20,0.3049062049062049,0.14160401002506265,0.16125541125541124,0.1624003268191147,0.1241830065359477,0.18338427340928037,1.0
MLP22->L24H6,20,0.1867548435171386,0.10421189752496743,0.08552631578947369,0.08866589600119715,0.057777777777777775,0.10876623376623376,0.95
L17H8->MLP20,20,0.3910077264507644,0.34161778326644027,0.0202205882352941,0.02211401396527701,0.0,0.050632911392405056,0.65
L23H6->Residual Output: <tool_call>,20,0.2885122410546139,0.0,0.2885122410546139,0.287289041363331,0.26,0.30508835426868214,1.0
MLP20->L21H1,20,0.08335648791330924,0.029307909604519775,0.053725546605293446,0.06187097470913463,0.02633402633402633,0.06779661016949153,0.95
Input Embed->MLP11,20,1.0,0.8495825478050094,0.1504174521949906,0.16284028474985335,0.11502966381015162,0.18522727272727268,1.0
