edge,n_samples,source_ratio_median,blocked_ratio_median,edge_ratio_median,edge_ratio_mean,edge_ratio_ci_lo,edge_ratio_ci_hi,positive_frac
L20H5->L21H12,18,0.2746615087040619,0.20304626660558867,0.07036914963744233,0.06123355890427792,0.044444444444444425,0.07927786499215073,0.9444444444444444
L17H8->L20H5,18,0.3877876509455457,0.330993330993331,0.033438897168405354,0.03453267792521667,0.01827849783981389,0.050632911392405056,0.7777777777777778
L17H8->L21H12,18,0.3877876509455457,0.28397734843437705,0.07590404582885785,0.08284708462378854,0.06493506493506496,0.09346405228758169,1.0
L24H6->Residual Output: <tool_call>,18,0.29037629037629037,0.0,0.29037629037629037,0.31050538609668055,0.24064327485380116,0.36065573770491804,1.0
MLP11->L17H8,18,0.1653658536585366,0.0740909090909091,0.08874824191279887,0.09529539703544762,0.08054054054054055,0.10582306830907055,1.0
L21H1->MLP27,18,0.4441834760983697,0.24444444444444444,0.20330237358101133,0.2061007694580757,0.18367346938775508,0.22086720867208676,1.0
L21H1->L24H6,18,0.4441834760983697,0.2744793974302171,0.15635345047109753,0.17398783241604032,0.12793235133660663,0.21145101281521292,1.0
L21H1->L23H6,18,0.4441834760983697,0.3763888888888889,0.08054054054054052,0.07279156235904617,0.0728593440457847,0.08196721311475413,1.0
L21H12->MLP27,18,0.4495056497175141,0.27932351336606653,0.18123699078203984,0.17728599654911112,0.15384615384615385,0.2022727272727273,1.0
L20H5->L21H1,18,0.2746615087040619,0.22597597597597596,0.05228981544771018,0.060062820261607835,0.04027027027027029,0.08108108108108109,1.0
L21H12->L24H6,18,0.4495056497175141,0.296189632255206,0.15617433414043586,0.1645420266319254,0.13273001508295626,0.2,1.0
L17H8->L21H1,18,0.3877876509455457,0.26449033977348435,0.10810810810810811,0.11132435983817923,0.10221109720483937,0.12262799856784817,1.0
MLP27->Residual Output: <tool_call>,18,0.35555555555555557,0.0,0.35555555555555557,0.3523214222363793,0.33771929824561403,0.3877551020408163,1.0
L21H12->L23H6,18,0.4495056497175141,0.38048245614035087,0.07456004939796237,0.07049258915883369,0.0666851903306474,0.08000000000000002,1.0
L23H6->L24H6,18,0.2813226985709538,0.1431707317073171,0.13809523809523808,0.13983157550398462,0.10960960960960961,0.18032786885245902,1.0
L21H12->MLP22,18,0.4495056497175141,0.41346153846153844,0.04044117647058823,0.042135451217977425,0.029906956136464324,0.051948051948051965,1.0
L21H1->MLP22,18,0.4441834760983697,0.4183185235816815,0.04444444444444445,0.04517059933000256,0.03315789473684208,0.0590213358070501,0.8888888888888888
L24H6->MLP27,18,0.29037629037629037,0.13684210526315788,0.15484515484515485,0.15943341156539811,0.12071078431372548,0.18210922787193973,1.0
MLP22->L24H6,18,0.1752703174049529,0.09831770546056261,0.08552631578947369,0.08688423392345743,0.06,0.10876623376623376,0.9444444444444444
L17H8->MLP20,18,0.3877876509455457,0.339562876148242,0.0202205882352941,0.021365998422957364,0.0,0.040816326530612235,0.6666666666666666
L23H6->Residual Output: <tool_call>,18,0.2813226985709538,0.0,0.2813226985709538,0.28359751034672104,0.25578231292517006,0.2987012987012987,1.0
MLP20->L21H1,18,0.08335648791330924,0.029307909604519775,0.053725546605293446,0.06304752175658833,0.04081632653061226,0.06666666666666667,0.9444444444444444
Input Embed->MLP11,18,1.0,0.8495825478050094,0.1504174521949906,0.16122804668312293,0.11502966381015162,0.1777777777777778,1.0
