mode,group,n_samples,n_nodes,gap_aug_median,full_suff_median,full_nec_median,suff_median,nec_median,drop_full_suff_median,drop_full_nec_median
orig,full_core,139,10,7.0,0.9078947368421053,0.92,0.9078947368421053,0.92,nan,nan
orig,all_heads,139,6,7.0,0.9078947368421053,0.92,0.972972972972973,1.0365853658536586,0.33333333333333337,0.43636363636363634
orig,all_mlps,139,4,7.0,0.9078947368421053,0.92,0.573170731707317,0.4807692307692308,-0.05555555555555558,-0.11111111111111116
orig,stable_but_weak_or_redundant,139,4,7.0,0.9078947368421053,0.92,0.6721311475409836,0.6052631578947368,0.03508771929824561,0.046875
orig,stable_necessary_backbone,139,4,7.0,0.9078947368421053,0.92,0.8888888888888888,0.9583333333333334,0.20408163265306123,0.2666666666666667
system_pad_long,full_core,133,10,5.0,0.9310344827586207,0.9298245614035088,0.9310344827586207,0.9298245614035088,nan,nan
system_pad_long,all_heads,133,6,5.0,0.9310344827586207,0.9298245614035088,0.9259259259259259,1.0,0.3939393939393939,0.4651162790697674
system_pad_long,all_mlps,133,4,5.0,0.9310344827586207,0.9298245614035088,0.5428571428571428,0.45161290322580644,-0.016666666666666607,-0.09090909090909094
system_pad_long,stable_but_weak_or_redundant,133,4,5.0,0.9310344827586207,0.9298245614035088,0.6986301369863014,0.6417910447761194,0.07547169811320753,0.1515151515151515
system_pad_long,stable_necessary_backbone,133,4,5.0,0.9310344827586207,0.9298245614035088,0.9130434782608695,1.0606060606060606,0.16666666666666663,0.22580645161290314
user_pad_long,full_core,127,10,3.375,1.0689655172413792,1.0344827586206897,1.0689655172413792,1.0344827586206897,nan,nan
user_pad_long,all_heads,127,6,3.375,1.0689655172413792,1.0344827586206897,0.7777777777777778,0.7666666666666667,0.3076923076923077,0.4
user_pad_long,all_mlps,127,4,3.375,1.0689655172413792,1.0344827586206897,0.7241379310344828,0.6041666666666666,0.2857142857142857,0.23529411764705888
user_pad_long,stable_but_weak_or_redundant,127,4,3.375,1.0689655172413792,1.0344827586206897,0.6111111111111112,0.56,0.1875,0.25
user_pad_long,stable_necessary_backbone,127,4,3.375,1.0689655172413792,1.0344827586206897,0.7692307692307693,0.7692307692307693,0.2702702702702703,0.34042553191489355
user_pad_short,full_core,119,10,2.5,1.0909090909090908,1.0666666666666667,1.0909090909090908,1.0666666666666667,nan,nan
user_pad_short,all_heads,119,6,2.5,1.0909090909090908,1.0666666666666667,0.7567567567567568,0.7916666666666666,0.2857142857142857,0.35
user_pad_short,all_mlps,119,4,2.5,1.0909090909090908,1.0666666666666667,0.7931034482758621,0.7,0.2941176470588236,0.2500000000000001
user_pad_short,stable_but_weak_or_redundant,119,4,2.5,1.0909090909090908,1.0666666666666667,0.6666666666666666,0.5882352941176471,0.18181818181818188,0.19999999999999996
user_pad_short,stable_necessary_backbone,119,4,2.5,1.0909090909090908,1.0666666666666667,0.7222222222222222,0.7352941176470589,0.23809523809523814,0.273972602739726
