source_a,source_b,source_a_nodes,source_b_nodes,intersection,union,jaccard
cluster_0,cluster_0,14,14,14,14,1.0
cluster_0,cluster_6,14,12,10,16,0.625
cluster_0,cluster_12,14,14,9,19,0.47368421052631576
cluster_0,cluster_8,14,12,9,17,0.5294117647058824
cluster_0,cluster_2,14,12,10,16,0.625
cluster_0,cluster_1,14,13,9,18,0.5
cluster_0,cluster_10,14,14,11,17,0.6470588235294118
cluster_0,global_core,14,8,8,14,0.5714285714285714
cluster_6,cluster_6,12,12,12,12,1.0
cluster_6,cluster_12,12,14,10,16,0.625
cluster_6,cluster_8,12,12,9,15,0.6
cluster_6,cluster_2,12,12,8,16,0.5
cluster_6,cluster_1,12,13,11,14,0.7857142857142857
cluster_6,cluster_10,12,14,9,17,0.5294117647058824
cluster_6,global_core,12,8,8,12,0.6666666666666666
cluster_12,cluster_12,14,14,14,14,1.0
cluster_12,cluster_8,14,12,9,17,0.5294117647058824
cluster_12,cluster_2,14,12,8,18,0.4444444444444444
cluster_12,cluster_1,14,13,10,17,0.5882352941176471
cluster_12,cluster_10,14,14,10,18,0.5555555555555556
cluster_12,global_core,14,8,8,14,0.5714285714285714
cluster_8,cluster_8,12,12,12,12,1.0
cluster_8,cluster_2,12,12,9,15,0.6
cluster_8,cluster_1,12,13,10,15,0.6666666666666666
cluster_8,cluster_10,12,14,8,18,0.4444444444444444
cluster_8,global_core,12,8,8,12,0.6666666666666666
cluster_2,cluster_2,12,12,12,12,1.0
cluster_2,cluster_1,12,13,9,16,0.5625
cluster_2,cluster_10,12,14,8,18,0.4444444444444444
cluster_2,global_core,12,8,7,13,0.5384615384615384
cluster_1,cluster_1,13,13,13,13,1.0
cluster_1,cluster_10,13,14,9,18,0.5
cluster_1,global_core,13,8,8,13,0.6153846153846154
cluster_10,cluster_10,14,14,14,14,1.0
cluster_10,global_core,14,8,8,14,0.5714285714285714
global_core,global_core,8,8,8,8,1.0
