source_a,source_b,source_a_nodes,source_b_nodes,intersection,union,jaccard
cluster_0,cluster_0,4,4,4,4,1.0
cluster_0,cluster_6,4,4,3,5,0.6
cluster_0,cluster_12,4,4,3,5,0.6
cluster_0,cluster_8,4,4,3,5,0.6
cluster_0,cluster_2,4,4,3,5,0.6
cluster_0,cluster_10,4,4,3,5,0.6
cluster_0,cluster_1,4,4,3,5,0.6
cluster_0,global_core,4,8,4,8,0.5
cluster_6,cluster_6,4,4,4,4,1.0
cluster_6,cluster_12,4,4,2,6,0.3333333333333333
cluster_6,cluster_8,4,4,4,4,1.0
cluster_6,cluster_2,4,4,4,4,1.0
cluster_6,cluster_10,4,4,4,4,1.0
cluster_6,cluster_1,4,4,3,5,0.6
cluster_6,global_core,4,8,4,8,0.5
cluster_12,cluster_12,4,4,4,4,1.0
cluster_12,cluster_8,4,4,2,6,0.3333333333333333
cluster_12,cluster_2,4,4,2,6,0.3333333333333333
cluster_12,cluster_10,4,4,2,6,0.3333333333333333
cluster_12,cluster_1,4,4,2,6,0.3333333333333333
cluster_12,global_core,4,8,4,8,0.5
cluster_8,cluster_8,4,4,4,4,1.0
cluster_8,cluster_2,4,4,4,4,1.0
cluster_8,cluster_10,4,4,4,4,1.0
cluster_8,cluster_1,4,4,3,5,0.6
cluster_8,global_core,4,8,4,8,0.5
cluster_2,cluster_2,4,4,4,4,1.0
cluster_2,cluster_10,4,4,4,4,1.0
cluster_2,cluster_1,4,4,3,5,0.6
cluster_2,global_core,4,8,4,8,0.5
cluster_10,cluster_10,4,4,4,4,1.0
cluster_10,cluster_1,4,4,3,5,0.6
cluster_10,global_core,4,8,4,8,0.5
cluster_1,cluster_1,4,4,4,4,1.0
cluster_1,global_core,4,8,3,9,0.3333333333333333
global_core,global_core,8,8,8,8,1.0
