source,target,n_samples,source_nodes,target_nodes,source_target_jaccard,suff_median,delta_vs_random_median,suff_vs_within_ratio,delta_vs_within_ratio
cluster_0,cluster_6,15,4,4,0.6,0.8153846153846154,0.7681159420289856,1.025054945054945,1.0058661145617669
cluster_0,cluster_12,12,4,4,0.6,0.865304071033674,0.9030851777330651,1.087810832156619,1.1826115422694898
cluster_0,cluster_8,11,4,4,0.6,0.8571428571428571,0.726027397260274,1.0775510204081633,0.9507501630789302
cluster_0,cluster_2,9,4,4,0.6,0.7358490566037735,0.5818181818181818,0.9250673854447439,0.7619047619047619
cluster_0,cluster_10,8,4,4,0.6,0.7520491803278688,0.6455301455301454,0.9454332552693209,0.8453370953370951
cluster_0,cluster_1,8,4,4,0.6,0.8581488933601609,0.5903904439293992,1.0788157516527737,0.7731303432408799
cluster_6,cluster_0,57,4,4,0.6,0.9206349206349206,0.8028169014084506,0.982010582010582,1.0451767207015676
cluster_6,cluster_12,12,4,4,0.3333333333333333,1.0,0.7726449275362319,1.0666666666666667,1.0058962264150944
cluster_6,cluster_8,11,4,4,1.0,0.9696969696969697,0.8400000000000001,1.0343434343434343,1.0935849056603772
cluster_6,cluster_2,9,4,4,1.0,0.7924528301886793,0.6363636363636362,0.8452830188679246,0.8284734133790735
cluster_6,cluster_10,8,4,4,1.0,0.7851092896174863,0.6944789081885856,0.8374499089253187,0.9041329182077812
cluster_6,cluster_1,8,4,4,0.6,0.976483903420523,0.9467676311030742,1.0415828303152246,1.2325842744549456
cluster_12,cluster_0,57,4,4,0.6,0.75,0.7121212121212122,0.932799442896936,0.995018679950187
cluster_12,cluster_6,15,4,4,0.3333333333333333,0.7846153846153846,0.6176470588235294,0.9758517248767945,0.8630136986301371
cluster_12,cluster_8,11,4,4,0.3333333333333333,0.8035714285714286,0.7123287671232876,0.9994279745324314,0.9953086883092513
cluster_12,cluster_2,9,4,4,0.3333333333333333,0.6792452830188679,0.5909090909090908,0.8447994954538287,0.825653798256538
cluster_12,cluster_10,8,4,4,0.3333333333333333,0.7024590163934425,0.6028528528528528,0.8736711721996437,0.8423423423423424
cluster_12,cluster_1,8,4,4,0.3333333333333333,0.8102364185110664,0.6765724946695096,1.0077174397359085,0.9453478692642465
cluster_8,cluster_0,57,4,4,0.6,0.9206349206349206,0.847457627118644,0.9494047619047619,1.0088781275221952
cluster_8,cluster_6,15,4,4,1.0,0.9375,0.82,0.966796875,0.976190476190476
cluster_8,cluster_12,12,4,4,0.3333333333333333,1.0,0.9699754901960784,1.03125,1.1547327264239027
cluster_8,cluster_2,9,4,4,1.0,0.7924528301886793,0.7857142857142857,0.8172169811320755,0.9353741496598639
cluster_8,cluster_10,8,4,4,1.0,0.7851092896174863,0.6822194199243379,0.8096439549180326,0.8121659761004022
cluster_8,cluster_1,8,4,4,0.6,0.976483903420523,0.9388326226012793,1.0069990254024144,1.117657884049142
cluster_2,cluster_0,57,4,4,0.6,0.9206349206349206,0.8636363636363636,1.1617535903250187,1.2006651884700665
cluster_2,cluster_6,15,4,4,1.0,0.9375,0.7971014492753623,1.1830357142857142,1.1081654294803818
cluster_2,cluster_12,12,4,4,0.3333333333333333,1.0,0.8677177177177178,1.2619047619047619,1.2063392660953638
cluster_2,cluster_8,11,4,4,1.0,0.9696969696969697,0.8407079646017699,1.2236652236652237,1.1687891215195336
cluster_2,cluster_10,8,4,4,1.0,0.7851092896174863,0.7799145299145298,0.9907331511839708,1.0842714196372731
cluster_2,cluster_1,8,4,4,0.6,0.976483903420523,0.9082853855005754,1.2322296876497076,1.2627382188666536
cluster_10,cluster_0,57,4,4,0.6,0.9206349206349206,0.8333333333333334,1.1726200833561196,1.123569259518804
cluster_10,cluster_6,15,4,4,1.0,0.9375,0.8529411764705881,1.1941012702279452,1.1500061832721875
cluster_10,cluster_12,12,4,4,0.3333333333333333,1.0,0.9553897180762853,1.273708021576475,1.2881358217090209
cluster_10,cluster_8,11,4,4,1.0,0.9696969696969697,0.8541666666666667,1.2351108088014302,1.1516584910067742
cluster_10,cluster_2,9,4,4,1.0,0.7924528301886793,0.6964285714285715,1.0093535265323008,0.9389828811692863
cluster_10,cluster_1,8,4,4,0.6,0.976483903420523,1.0264500283393159,1.2437553807270278,1.3839452379291126
cluster_1,cluster_0,57,4,4,0.6,0.8367346938775511,0.7966101694915254,0.9542024800160992,1.0780671328589175
cluster_1,cluster_6,15,4,4,0.6,0.9375,0.7446808510638298,1.0691140591643795,1.0077902351080419
cluster_1,cluster_12,12,4,4,0.3333333333333333,0.9034722222222222,0.8975127359904105,1.030309178498413,1.2146204242046623
cluster_1,cluster_8,11,4,4,0.6,0.9242424242424242,0.9113924050632911,1.0539952744893275,1.2334040345770756
cluster_1,cluster_2,9,4,4,0.6,0.7169811320754716,0.6037735849056604,0.8176369156879781,0.8170978509986496
cluster_1,cluster_10,8,4,4,0.6,0.7353825136612022,0.6544665012406947,0.8386216365000881,0.8857015031519365
