rank,tail,source,target,source_target_jaccard,suff_vs_within_ratio,delta_vs_within_ratio,suff_median,delta_vs_random_median
1,low,cluster_1,cluster_10,0.3333333333333333,0.6664047054778541,0.8697443738728142,0.3530950305143854,0.38589743589743586
2,low,cluster_1,cluster_2,0.3333333333333333,0.6765878288599522,0.5535704705188047,0.3584905660377358,0.24561403508771928
3,low,cluster_12,cluster_2,0.0,0.6875432184135137,0.7536517923337408,0.5471698113207547,0.5681818181818182
4,low,cluster_6,cluster_2,1.0,0.6920415224913494,0.9582289055973265,0.49019607843137253,0.5438596491228069
5,low,cluster_6,cluster_10,1.0,0.716888045540797,0.8520609318996416,0.5077956989247312,0.4836021505376344
6,low,cluster_12,cluster_10,0.0,0.7372757703201441,0.8167352386550094,0.5867486338797814,0.6157407407407407
7,low,cluster_1,cluster_0,0.3333333333333333,0.7839653304442038,0.928044612340349,0.4153846153846154,0.4117647058823529
8,low,cluster_8,cluster_2,1.0,0.7906388361796332,1.0161725067385443,0.49019607843137253,0.5471698113207547
9,low,cluster_6,cluster_0,0.3333333333333333,0.8173374613003096,1.0200501253132832,0.5789473684210527,0.5789473684210527
10,low,cluster_8,cluster_10,1.0,0.8190253208463406,0.9361826697892269,0.5077956989247312,0.5040983606557377
11,low,cluster_1,cluster_12,0.0,0.8270115149550329,0.8835534131000942,0.4381926683716965,0.39202437731849493
12,low,cluster_0,cluster_10,0.3333333333333333,0.8461538461538461,0.9043987621573828,0.5,0.5352564102564102
1,high,cluster_2,cluster_6,1.0,1.445,1.1063829787234043,0.7083333333333334,0.5531914893617021
2,high,cluster_10,cluster_6,1.0,1.3949179460031764,1.116478797638218,0.7083333333333334,0.5797101449275361
3,high,cluster_2,cluster_1,0.3333333333333333,1.3244776119402986,1.1786175710594313,0.6492537313432836,0.5893087855297157
4,high,cluster_10,cluster_1,0.3333333333333333,1.2785727266262652,1.1734576064823563,0.6492537313432836,0.6092952956735311
5,high,cluster_2,cluster_12,0.0,1.2735833333333333,1.2455242966751916,0.6243055555555556,0.6227621483375958
6,high,cluster_2,cluster_8,1.0,1.2648000000000001,1.0799999999999998,0.62,0.5399999999999999
7,high,cluster_0,cluster_8,0.3333333333333333,1.2518440463645941,1.1151724137931036,0.7397260273972602,0.66
8,high,cluster_10,cluster_12,0.0,1.2294423857420151,1.089166511940444,0.6243055555555556,0.5655287658152304
9,high,cluster_10,cluster_8,1.0,1.2209634727368979,1.1234567901234571,0.62,0.5833333333333334
10,high,cluster_0,cluster_1,0.3333333333333333,1.2123995407577495,1.1723354231974918,0.7164179104477612,0.6938311688311687
11,high,cluster_0,cluster_6,0.3333333333333333,1.1987179487179487,1.0529735132433784,0.7083333333333334,0.6231884057971014
12,high,cluster_2,cluster_0,0.3333333333333333,1.1810526315789476,1.135135135135135,0.5789473684210527,0.5675675675675675
