edge,frequency
L17H8->L21H12,1.0
L21H1->L23H6,1.0
L21H1->MLP22,1.0
L24H6->MLP27,1.0
L23H6->Residual Output: <tool_call>,1.0
L24H6->Residual Output: <tool_call>,1.0
L21H12->L23H6,1.0
L21H12->MLP22,1.0
MLP27->Residual Output: <tool_call>,1.0
L21H1->L24H6,1.0
L20H5->L21H1,1.0
L21H1->MLP27,1.0
MLP22->L24H6,1.0
L23H6->L24H6,1.0
L20H5->L21H12,1.0
L17H8->L21H1,1.0
L17H8->L20H5,1.0
L21H12->MLP27,1.0
L21H12->L24H6,1.0
L17H8->MLP20,0.6666666666666666
Input Embed->MLP11,0.6666666666666666
MLP20->L21H1,0.6666666666666666
MLP11->L17H8,0.6666666666666666
L21H12->MLP25,0.3333333333333333
MLP25->Residual Output: <tool_call>,0.3333333333333333
Input Embed->L17H8,0.3333333333333333
MLP20->L21H12,0.2222222222222222
L24H6->MLP25,0.1111111111111111
