q_index,node,node_role,gap,full_suff_ratio,full_nec_ratio,node_suff_ratio,node_nec_ratio,minus_node_suff_ratio,minus_node_nec_ratio,drop_full_suff,drop_full_nec
1,MLP11,Aux MLP,4.75,0.9210526315789473,1.0263157894736843,0.15789473684210525,0.4473684210526316,0.868421052631579,0.9473684210526315,0.05263157894736836,0.07894736842105277
1,L17H8,Format Router / Target+Suppressor,4.75,0.9210526315789473,1.0263157894736843,0.42105263157894735,0.5,0.868421052631579,0.9736842105263158,0.05263157894736836,0.052631578947368474
1,MLP20,Aux MLP,4.75,0.9210526315789473,1.0263157894736843,-0.02631578947368421,0.07894736842105263,1.0,1.105263157894737,-0.07894736842105265,-0.07894736842105265
1,L20H5,Query Reader / Distractor Suppressor,4.75,0.9210526315789473,1.0263157894736843,0.23684210526315788,0.3157894736842105,0.9210526315789473,0.9736842105263158,0.0,0.052631578947368474
1,L21H1,Format Router / Target+Suppressor,4.75,0.9210526315789473,1.0263157894736843,0.47368421052631576,0.4473684210526316,0.9210526315789473,1.0,0.0,0.026315789473684292
1,L21H12,Format Router / Target+Suppressor,4.75,0.9210526315789473,1.0263157894736843,0.5263157894736842,0.4473684210526316,0.8157894736842105,0.9210526315789473,0.10526315789473684,0.10526315789473695
1,MLP22,Support Suppressor MLP,4.75,0.9210526315789473,1.0263157894736843,0.07894736842105263,0.13157894736842105,0.9736842105263158,1.1578947368421053,-0.052631578947368474,-0.13157894736842102
1,L23H6,Format Router / Distractor Suppressor,4.75,0.9210526315789473,1.0263157894736843,0.23684210526315788,0.2894736842105263,0.8947368421052632,0.9736842105263158,0.02631578947368418,0.052631578947368474
1,L24H6,Tool-Tag Reader / Distractor Suppressor,4.75,0.9210526315789473,1.0263157894736843,0.23684210526315788,0.23684210526315788,0.9210526315789473,1.0789473684210527,0.0,-0.05263157894736836
1,MLP27,Primary Writer MLP,4.75,0.9210526315789473,1.0263157894736843,0.34210526315789475,0.34210526315789475,0.868421052631579,1.0263157894736843,0.05263157894736836,0.0
2,MLP11,Aux MLP,7.625,0.9180327868852459,0.9508196721311475,0.08196721311475409,0.06557377049180328,0.9344262295081968,0.9508196721311475,-0.016393442622950838,0.0
2,L17H8,Format Router / Target+Suppressor,7.625,0.9180327868852459,0.9508196721311475,0.4262295081967213,0.32786885245901637,0.9016393442622951,0.9016393442622951,0.016393442622950838,0.0491803278688524
2,MLP20,Aux MLP,7.625,0.9180327868852459,0.9508196721311475,0.08196721311475409,0.03278688524590164,0.9508196721311475,0.9836065573770492,-0.032786885245901565,-0.032786885245901676
2,L20H5,Query Reader / Distractor Suppressor,7.625,0.9180327868852459,0.9508196721311475,0.19672131147540983,0.11475409836065574,0.9180327868852459,0.9180327868852459,0.0,0.032786885245901565
2,L21H1,Format Router / Target+Suppressor,7.625,0.9180327868852459,0.9508196721311475,0.5081967213114754,0.19672131147540983,0.9016393442622951,0.8852459016393442,0.016393442622950838,0.06557377049180324
2,L21H12,Format Router / Target+Suppressor,7.625,0.9180327868852459,0.9508196721311475,0.4918032786885246,0.21311475409836064,0.8688524590163934,0.819672131147541,0.049180327868852514,0.13114754098360648
2,MLP22,Support Suppressor MLP,7.625,0.9180327868852459,0.9508196721311475,0.18032786885245902,0.06557377049180328,0.9344262295081968,0.9672131147540983,-0.016393442622950838,-0.016393442622950838
2,L23H6,Format Router / Distractor Suppressor,7.625,0.9180327868852459,0.9508196721311475,0.3114754098360656,0.14754098360655737,0.9016393442622951,0.9016393442622951,0.016393442622950838,0.0491803278688524
2,L24H6,Tool-Tag Reader / Distractor Suppressor,7.625,0.9180327868852459,0.9508196721311475,0.36065573770491804,0.2459016393442623,0.9180327868852459,0.9180327868852459,0.0,0.032786885245901565
2,MLP27,Primary Writer MLP,7.625,0.9180327868852459,0.9508196721311475,0.4098360655737705,0.32786885245901637,0.9180327868852459,0.9344262295081968,0.0,0.016393442622950727
3,MLP11,Aux MLP,6.5,0.9038461538461539,0.9230769230769231,-0.17307692307692307,0.07692307692307693,0.9038461538461539,0.9423076923076923,0.0,-0.019230769230769162
3,L17H8,Format Router / Target+Suppressor,6.5,0.9038461538461539,0.9230769230769231,0.4423076923076923,0.3269230769230769,0.8653846153846154,0.8653846153846154,0.038461538461538436,0.05769230769230771
3,MLP20,Aux MLP,6.5,0.9038461538461539,0.9230769230769231,0.11538461538461539,0.07692307692307693,0.9423076923076923,0.9615384615384616,-0.038461538461538436,-0.038461538461538436
3,L20H5,Query Reader / Distractor Suppressor,6.5,0.9038461538461539,0.9230769230769231,0.3269230769230769,0.25,0.8846153846153846,0.9038461538461539,0.019230769230769273,0.019230769230769273
3,L21H1,Format Router / Target+Suppressor,6.5,0.9038461538461539,0.9230769230769231,0.5192307692307693,0.2692307692307692,0.8846153846153846,0.9038461538461539,0.019230769230769273,0.019230769230769273
3,L21H12,Format Router / Target+Suppressor,6.5,0.9038461538461539,0.9230769230769231,0.5384615384615384,0.28846153846153844,0.8269230769230769,0.8461538461538461,0.07692307692307698,0.07692307692307698
3,MLP22,Support Suppressor MLP,6.5,0.9038461538461539,0.9230769230769231,0.28846153846153844,0.17307692307692307,0.9038461538461539,0.9615384615384616,0.0,-0.038461538461538436
3,L23H6,Format Router / Distractor Suppressor,6.5,0.9038461538461539,0.9230769230769231,0.3076923076923077,0.17307692307692307,0.8846153846153846,0.9230769230769231,0.019230769230769273,0.0
3,L24H6,Tool-Tag Reader / Distractor Suppressor,6.5,0.9038461538461539,0.9230769230769231,0.4230769230769231,0.3076923076923077,0.9230769230769231,0.9423076923076923,-0.019230769230769273,-0.019230769230769162
3,MLP27,Primary Writer MLP,6.5,0.9038461538461539,0.9230769230769231,0.3269230769230769,0.2692307692307692,0.9807692307692307,1.0384615384615385,-0.07692307692307687,-0.11538461538461542
4,MLP11,Aux MLP,6.125,0.8163265306122449,0.8979591836734694,0.061224489795918366,0.12244897959183673,0.8775510204081632,0.9183673469387755,-0.061224489795918324,-0.020408163265306145
4,L17H8,Format Router / Target+Suppressor,6.125,0.8163265306122449,0.8979591836734694,0.32653061224489793,0.2857142857142857,0.7959183673469388,0.8367346938775511,0.020408163265306145,0.061224489795918324
4,MLP20,Aux MLP,6.125,0.8163265306122449,0.8979591836734694,0.1836734693877551,0.10204081632653061,0.8979591836734694,0.9387755102040817,-0.08163265306122447,-0.04081632653061229
4,L20H5,Query Reader / Distractor Suppressor,6.125,0.8163265306122449,0.8979591836734694,0.40816326530612246,0.2653061224489796,0.7959183673469388,0.8571428571428571,0.020408163265306145,0.04081632653061229
4,L21H1,Format Router / Target+Suppressor,6.125,0.8163265306122449,0.8979591836734694,0.3877551020408163,0.20408163265306123,0.7959183673469388,0.8571428571428571,0.020408163265306145,0.04081632653061229
4,L21H12,Format Router / Target+Suppressor,6.125,0.8163265306122449,0.8979591836734694,0.3673469387755102,0.22448979591836735,0.7551020408163265,0.7959183673469388,0.061224489795918435,0.10204081632653061
4,MLP22,Support Suppressor MLP,6.125,0.8163265306122449,0.8979591836734694,0.10204081632653061,0.04081632653061224,0.8571428571428571,0.9387755102040817,-0.04081632653061218,-0.04081632653061229
4,L23H6,Format Router / Distractor Suppressor,6.125,0.8163265306122449,0.8979591836734694,0.24489795918367346,0.16326530612244897,0.8163265306122449,0.8775510204081632,0.0,0.020408163265306145
4,L24H6,Tool-Tag Reader / Distractor Suppressor,6.125,0.8163265306122449,0.8979591836734694,0.16326530612244897,0.10204081632653061,0.8367346938775511,0.8979591836734694,-0.020408163265306145,0.0
4,MLP27,Primary Writer MLP,6.125,0.8163265306122449,0.8979591836734694,0.3877551020408163,0.3469387755102041,0.7346938775510204,0.7755102040816326,0.08163265306122447,0.12244897959183676
5,MLP11,Aux MLP,11.0,0.9090909090909091,0.9431818181818182,0.09090909090909091,0.17045454545454544,0.8977272727272727,0.9318181818181818,0.011363636363636354,0.011363636363636465
5,L17H8,Format Router / Target+Suppressor,11.0,0.9090909090909091,0.9431818181818182,0.25,0.20454545454545456,0.8863636363636364,0.9090909090909091,0.022727272727272707,0.03409090909090917
5,MLP20,Aux MLP,11.0,0.9090909090909091,0.9431818181818182,0.2159090909090909,0.09090909090909091,0.9318181818181818,0.9545454545454546,-0.022727272727272707,-0.011363636363636354
5,L20H5,Query Reader / Distractor Suppressor,11.0,0.9090909090909091,0.9431818181818182,0.2727272727272727,0.17045454545454544,0.8977272727272727,0.9318181818181818,0.011363636363636354,0.011363636363636465
5,L21H1,Format Router / Target+Suppressor,11.0,0.9090909090909091,0.9431818181818182,0.5,0.20454545454545456,0.8863636363636364,0.8977272727272727,0.022727272727272707,0.045454545454545525
5,L21H12,Format Router / Target+Suppressor,11.0,0.9090909090909091,0.9431818181818182,0.4772727272727273,0.18181818181818182,0.875,0.8636363636363636,0.03409090909090906,0.07954545454545459
5,MLP22,Support Suppressor MLP,11.0,0.9090909090909091,0.9431818181818182,0.19318181818181818,0.03409090909090909,0.9204545454545454,0.9659090909090909,-0.011363636363636354,-0.022727272727272707
5,L23H6,Format Router / Distractor Suppressor,11.0,0.9090909090909091,0.9431818181818182,0.36363636363636365,0.125,0.8977272727272727,0.9090909090909091,0.011363636363636354,0.03409090909090917
5,L24H6,Tool-Tag Reader / Distractor Suppressor,11.0,0.9090909090909091,0.9431818181818182,0.45454545454545453,0.2727272727272727,0.9090909090909091,0.9318181818181818,0.0,0.011363636363636465
5,MLP27,Primary Writer MLP,11.0,0.9090909090909091,0.9431818181818182,0.42045454545454547,0.3068181818181818,0.9090909090909091,0.9659090909090909,0.0,-0.022727272727272707
6,MLP11,Aux MLP,4.625,0.8108108108108109,0.8108108108108109,0.10810810810810811,0.10810810810810811,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.0
6,L17H8,Format Router / Target+Suppressor,4.625,0.8108108108108109,0.8108108108108109,0.40540540540540543,0.35135135135135137,0.7567567567567568,0.7567567567567568,0.05405405405405406,0.05405405405405406
6,MLP20,Aux MLP,4.625,0.8108108108108109,0.8108108108108109,0.05405405405405406,0.05405405405405406,0.8918918918918919,0.8918918918918919,-0.08108108108108103,-0.08108108108108103
6,L20H5,Query Reader / Distractor Suppressor,4.625,0.8108108108108109,0.8108108108108109,0.35135135135135137,0.24324324324324326,0.8108108108108109,0.7837837837837838,0.0,0.027027027027027084
6,L21H1,Format Router / Target+Suppressor,4.625,0.8108108108108109,0.8108108108108109,0.3783783783783784,0.16216216216216217,0.7837837837837838,0.7567567567567568,0.027027027027027084,0.05405405405405406
6,L21H12,Format Router / Target+Suppressor,4.625,0.8108108108108109,0.8108108108108109,0.35135135135135137,0.21621621621621623,0.7297297297297297,0.7027027027027027,0.08108108108108114,0.10810810810810811
6,MLP22,Support Suppressor MLP,4.625,0.8108108108108109,0.8108108108108109,0.21621621621621623,0.10810810810810811,0.8378378378378378,0.8648648648648649,-0.027027027027026973,-0.05405405405405406
6,L23H6,Format Router / Distractor Suppressor,4.625,0.8108108108108109,0.8108108108108109,0.24324324324324326,0.13513513513513514,0.7837837837837838,0.7837837837837838,0.027027027027027084,0.027027027027027084
6,L24H6,Tool-Tag Reader / Distractor Suppressor,4.625,0.8108108108108109,0.8108108108108109,0.16216216216216217,0.10810810810810811,0.8378378378378378,0.8108108108108109,-0.027027027027026973,0.0
6,MLP27,Primary Writer MLP,4.625,0.8108108108108109,0.8108108108108109,0.21621621621621623,0.13513513513513514,0.8108108108108109,0.8648648648648649,0.0,-0.05405405405405406
7,MLP11,Aux MLP,6.25,0.88,0.9,0.16,0.2,0.88,0.88,0.0,0.020000000000000018
7,L17H8,Format Router / Target+Suppressor,6.25,0.88,0.9,0.2,0.18,0.84,0.88,0.040000000000000036,0.020000000000000018
7,MLP20,Aux MLP,6.25,0.88,0.9,0.12,0.1,0.92,0.96,-0.040000000000000036,-0.05999999999999994
7,L20H5,Query Reader / Distractor Suppressor,6.25,0.88,0.9,0.28,0.2,0.86,0.86,0.020000000000000018,0.040000000000000036
7,L21H1,Format Router / Target+Suppressor,6.25,0.88,0.9,0.32,0.14,0.86,0.86,0.020000000000000018,0.040000000000000036
7,L21H12,Format Router / Target+Suppressor,6.25,0.88,0.9,0.44,0.22,0.8,0.76,0.07999999999999996,0.14
7,MLP22,Support Suppressor MLP,6.25,0.88,0.9,0.2,0.1,0.9,0.9,-0.020000000000000018,0.0
7,L23H6,Format Router / Distractor Suppressor,6.25,0.88,0.9,0.26,0.14,0.86,0.86,0.020000000000000018,0.040000000000000036
7,L24H6,Tool-Tag Reader / Distractor Suppressor,6.25,0.88,0.9,0.2,0.14,0.88,0.88,0.0,0.020000000000000018
7,MLP27,Primary Writer MLP,6.25,0.88,0.9,0.28,0.22,0.86,0.88,0.020000000000000018,0.020000000000000018
8,MLP11,Aux MLP,9.875,1.0253164556962024,1.0126582278481013,0.17721518987341772,0.1518987341772152,0.9620253164556962,0.9493670886075949,0.06329113924050622,0.06329113924050644
8,L17H8,Format Router / Target+Suppressor,9.875,1.0253164556962024,1.0126582278481013,0.3924050632911392,0.3670886075949367,1.0126582278481013,1.0,0.012658227848101111,0.012658227848101333
8,MLP20,Aux MLP,9.875,1.0253164556962024,1.0126582278481013,0.12658227848101267,0.05063291139240506,1.0253164556962024,1.0,0.0,0.012658227848101333
8,L20H5,Query Reader / Distractor Suppressor,9.875,1.0253164556962024,1.0126582278481013,0.27848101265822783,0.13924050632911392,1.0253164556962024,1.0,0.0,0.012658227848101333
8,L21H1,Format Router / Target+Suppressor,9.875,1.0253164556962024,1.0126582278481013,0.569620253164557,0.3037974683544304,1.0126582278481013,0.9873417721518988,0.012658227848101111,0.025316455696202556
