node,node_role,n_samples,node_suff_median,node_suff_ci_lo,node_suff_ci_hi,node_nec_median,node_nec_ci_lo,node_nec_ci_hi,minus_node_suff_median,minus_node_nec_median,drop_full_suff_median,drop_full_suff_ci_lo,drop_full_suff_ci_hi,drop_full_nec_median,drop_full_nec_ci_lo,drop_full_nec_ci_hi,rank_drop_full_nec,rank_node_suff
MLP11,Aux MLP,138,0.1,0.07894736842105263,0.13114754098360656,0.11010101010101009,0.1000277854959711,0.1323529411764706,0.896780303030303,0.9111111111111111,0.015038444142921714,0.005208333333333315,0.018518518518518545,0.014822134387351749,0.0,0.0185185185185186,6,10
L17H8,Format Router / Target+Suppressor,138,0.3792673571154584,0.36875503626107975,0.3910077264507644,0.2945998071359691,0.2817910447761194,0.3063885267275098,0.8727272727272727,0.8834841628959276,0.03540100250626571,0.027027027027027084,0.039215686274509776,0.040000000000000036,0.03658536585365857,0.04477611940298509,2,4
MLP20,Aux MLP,138,0.11506935687263556,0.10336538461538461,0.1303885853066181,0.05676328502415459,0.044444444444444446,0.06996086105675146,0.9459459459459459,0.9584531339850488,-0.03278688524590162,-0.04040816326530616,-0.025000000000000133,-0.03703703703703698,-0.04255319148936165,-0.027212143650499787,10,9
L20H5,Query Reader / Distractor Suppressor,138,0.2867965367965368,0.2797058823529412,0.30395962732919257,0.19378911892152142,0.18518518518518517,0.20168067226890757,0.8888888888888888,0.9035359801488834,0.01724650609574785,0.014084507042253502,0.019049346879535578,0.018181818181818188,0.014925373134328401,0.02020408163265308,5,7
L21H1,Format Router / Target+Suppressor,138,0.4807407407407407,0.4626865671641791,0.5,0.234375,0.22295321637426901,0.2459016393442623,0.8758561643835616,0.8895663956639566,0.02941176470588236,0.025316455696202445,0.03292236824278555,0.03603896103896104,0.02941176470588236,0.040816326530612235,3,2
L21H12,Format Router / Target+Suppressor,138,0.48316498316498313,0.4634146341463415,0.4959016393442623,0.23660287081339712,0.2225390156062425,0.2535211267605634,0.8512990602542841,0.8359432346464399,0.056470900876959884,0.05263157894736836,0.061224489795918435,0.08276255707762559,0.07928361960620017,0.09090909090909088,1,1
MLP22,Support Suppressor MLP,138,0.21818181818181817,0.2,0.23376623376623376,0.08207949696833594,0.07435046987285793,0.09547662416514875,0.9207535885167464,0.9468984962406015,0.0,-0.015045248868778338,0.0,-0.019463340891912317,-0.0298773690078038,-0.014705882352941124,8,8
L23H6,Format Router / Distractor Suppressor,138,0.30242329489935504,0.2962962962962963,0.3125,0.15034246575342464,0.1465040650406504,0.15954545454545455,0.8857463080168776,0.8989795918367347,0.020408163265306145,0.018693221523410186,0.023431077007399326,0.0222222222222222,0.020408163265306145,0.025487012987012947,4,6
L24H6,Tool-Tag Reader / Distractor Suppressor,138,0.3667720609370509,0.3282667876588022,0.3982138487888427,0.24795081967213115,0.23177537495640044,0.2711864406779661,0.9074357405140758,0.911578555472822,0.0,0.0,0.0,0.0,0.0,0.01470588235294118,7,5
MLP27,Primary Writer MLP,138,0.3796551724137931,0.3598150483396385,0.39373339584310046,0.30357142857142855,0.2962962962962963,0.3111111111111111,0.8986424509264355,0.9455757126990003,0.0,-0.012658227848101333,0.01449275362318847,-0.02156771799628937,-0.032266458495966654,-0.006172839506172867,9,3
