node,orig,system_json_pad,user_json_pad
L17H8,stable_necessary_backbone,stable_necessary_backbone,stable_but_weak_or_redundant
L20H5,stable_but_weak_or_redundant,stable_but_weak_or_redundant,stable_but_weak_or_redundant
L21H1,stable_necessary_backbone,stable_necessary_backbone,stable_but_weak_or_redundant
L21H12,stable_necessary_backbone,stable_necessary_backbone,stable_but_weak_or_redundant
L23H6,stable_necessary_backbone,stable_but_weak_or_redundant,stable_necessary_backbone
L24H6,stable_but_weak_or_redundant,stable_but_weak_or_redundant,stable_but_weak_or_redundant
MLP11,unstable_weak,unstable_but_necessary,unstable_weak
MLP20,unstable_weak,unstable_weak,unstable_but_necessary
MLP22,stable_but_weak_or_redundant,stable_but_weak_or_redundant,stable_but_weak_or_redundant
MLP27,stable_but_weak_or_redundant,stable_but_weak_or_redundant,stable_necessary_backbone
