edge,n_samples,source_ratio_median,blocked_ratio_median,edge_ratio_median,edge_ratio_mean,edge_ratio_ci_lo,edge_ratio_ci_hi,positive_frac
L23H6->L24H6,126,0.30242329489935504,0.14017543859649123,0.16666666666666669,0.16658111041254847,0.15589616128141398,0.1797979797979798,1.0
L21H1->L24H6,126,0.48148148148148145,0.2714987714987715,0.22305140961857378,0.21716552679532067,0.19553962564715255,0.23214285714285715,1.0
L24H6->Residual Output: <tool_call>,126,0.3621460506706409,0.0,0.3621460506706409,0.3684474788234714,0.32653061224489793,0.396407791550721,1.0
L21H12->MLP27,126,0.48280885780885785,0.2707283554741182,0.20604631217838767,0.21356776368310876,0.19512195121951226,0.22163742690058483,1.0
L21H1->L23H6,126,0.48148148148148145,0.3985294117647059,0.08565663976522378,0.08930242294913704,0.08000000000000002,0.08958667736757622,1.0
L21H12->L24H6,126,0.48280885780885785,0.2797058823529412,0.195134849286092,0.19520110679812883,0.1792857142857143,0.20634920634920634,1.0
L17H8->L20H5,126,0.3809090909090909,0.3442622950819672,0.03125,0.03767542957775122,0.025978407557354893,0.03508771929824561,0.8492063492063492
L20H5->L21H12,126,0.2867965367965368,0.21846590909090907,0.08054054054054055,0.08186973172013771,0.07259552042160737,0.08816344659116143,0.9920634920634921
MLP27->Residual Output: <tool_call>,126,0.378334417696812,0.0,0.378334417696812,0.3805145234338667,0.3598150483396385,0.3936910084451068,1.0
L17H8->L21H12,126,0.3809090909090909,0.2807017543859649,0.09175084175084176,0.10076959826983029,0.08447814451382696,0.09836065573770492,1.0
L20H5->L21H1,126,0.2867965367965368,0.23235049833887045,0.06997144022847816,0.06940751539956178,0.052631578947368425,0.07692307692307693,0.9920634920634921
L17H8->L21H1,126,0.3809090909090909,0.26013698630136983,0.1147540983606557,0.12143343071519067,0.10909090909090907,0.12,1.0
L21H1->MLP27,126,0.48148148148148145,0.2510504201680672,0.2322210987529491,0.24628858364066866,0.2197560975609756,0.24489795918367346,1.0
L21H12->L23H6,126,0.48280885780885785,0.4,0.07504928189242466,0.0792273523108342,0.07352941176470587,0.08152414709791758,1.0
L21H1->MLP22,126,0.48148148148148145,0.43107088989441933,0.0454545454545455,0.04616778372420275,0.04081632653061229,0.053342816500711265,0.9365079365079365
L21H12->MLP22,126,0.48280885780885785,0.42678571428571427,0.043015726179463476,0.0463715797216966,0.040408163265306135,0.047449362340585166,0.9841269841269841
MLP22->L24H6,126,0.21719901719901719,0.11010101010101009,0.10367218987908644,0.10141246163367186,0.09280792420327304,0.11363636363636363,0.9841269841269841
L24H6->MLP27,126,0.3621460506706409,0.17138490164805953,0.18518518518518517,0.191770678769715,0.16923076923076924,0.20483870967741935,1.0
L23H6->Residual Output: <tool_call>,126,0.30242329489935504,0.0,0.30242329489935504,0.30591288439144104,0.2962962962962963,0.31365740740740744,1.0
Input Embed->L17H8,126,1.0,0.7103942652329749,0.28960573476702506,0.3062829873264499,0.2785847686241959,0.30188679245283023,1.0
