mode,q_index,group,n_nodes,gap_aug,full_suff_ratio,full_nec_ratio,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,drop_full_suff,drop_full_nec
orig,1,full_core,10,4.75,0.9210526315789473,1.0263157894736843,0.9210526315789473,1.0263157894736843,nan,nan,nan,nan
orig,1,stable_necessary_backbone,2,4.75,0.9210526315789473,1.0263157894736843,0.5,0.5,0.868421052631579,1.0,0.05263157894736836,0.026315789473684292
orig,1,stable_but_weak_or_redundant,6,4.75,0.9210526315789473,1.0263157894736843,1.0263157894736843,1.1578947368421053,0.631578947368421,0.7631578947368421,0.2894736842105263,0.26315789473684215
orig,1,all_heads,6,4.75,0.9210526315789473,1.0263157894736843,1.0789473684210527,1.263157894736842,0.5,0.6578947368421053,0.42105263157894735,0.368421052631579
orig,1,all_mlps,4,4.75,0.9210526315789473,1.0263157894736843,0.5,0.6578947368421053,1.0789473684210527,1.263157894736842,-0.1578947368421053,-0.23684210526315774
orig,2,full_core,10,7.625,0.9180327868852459,0.9508196721311475,0.9180327868852459,0.9508196721311475,nan,nan,nan,nan
orig,2,stable_necessary_backbone,2,7.625,0.9180327868852459,0.9508196721311475,0.5573770491803278,0.4262295081967213,0.8852459016393442,0.8688524590163934,0.032786885245901676,0.08196721311475408
orig,2,stable_but_weak_or_redundant,6,7.625,0.9180327868852459,0.9508196721311475,0.9180327868852459,1.0163934426229508,0.6229508196721312,0.5409836065573771,0.29508196721311475,0.4098360655737704
orig,2,all_heads,6,7.625,0.9180327868852459,0.9508196721311475,1.0,1.098360655737705,0.5573770491803278,0.4262295081967213,0.3606557377049181,0.5245901639344261
orig,2,all_mlps,4,7.625,0.9180327868852459,0.9508196721311475,0.5573770491803278,0.4262295081967213,1.0,1.098360655737705,-0.08196721311475408,-0.14754098360655754
orig,3,full_core,10,6.5,0.9038461538461539,0.9230769230769231,0.9038461538461539,0.9230769230769231,nan,nan,nan,nan
orig,3,stable_necessary_backbone,2,6.5,0.9038461538461539,0.9230769230769231,0.5,0.38461538461538464,0.9615384615384616,1.0384615384615385,-0.05769230769230771,-0.11538461538461542
orig,3,stable_but_weak_or_redundant,6,6.5,0.9038461538461539,0.9230769230769231,1.0192307692307692,1.0961538461538463,0.5384615384615384,0.5192307692307693,0.3653846153846154,0.40384615384615385
