contrast,group,metric,delta_median_boot_mean,ci_lo,ci_hi,n
user_json_pad-orig,full_core,suff_ratio,0.054854744593488165,0.03600543478260865,0.07404458598726116,139
user_json_pad-orig,full_core,nec_ratio,0.040069768976761316,0.0024702447788006454,0.06550969355847391,139
user_json_pad-orig,all_heads,drop_full_nec,-0.21464959797806404,-0.2354048964218456,-0.19845802398629359,139
user_json_pad-orig,all_heads,drop_full_nec_abs,-1.0084062500000002,-1.25,-0.8125000000000009,139
user_json_pad-orig,all_mlps,drop_full_nec,0.2152499978006667,0.19051724137931048,0.24357668364459528,139
user_json_pad-orig,all_mlps,drop_full_nec_abs,1.7999687499999995,1.5624999999999982,1.9999999999999987,139
user_json_pad-orig,stable_necessary_backbone,drop_full_nec,-0.17155391131160624,-0.1826012058570198,-0.1623649459783913,139
user_json_pad-orig,stable_necessary_backbone,drop_full_nec_abs,-1.0073437500000002,-1.1249999999999998,-0.8750000000000009,139
user_json_pad-orig,stable_but_weak_or_redundant,drop_full_nec,-0.08267986438093568,-0.1161057692307692,-0.0542918185245696,139
user_json_pad-orig,stable_but_weak_or_redundant,drop_full_nec_abs,-0.6069062500000001,-0.8749999999999999,-0.31250000000000105,139
system_json_pad-orig,full_core,suff_ratio,0.0742834051436027,0.062359369977499135,0.08695652173913038,139
system_json_pad-orig,full_core,nec_ratio,0.0788695864037478,0.06529294935451835,0.0983606557377048,139
system_json_pad-orig,all_heads,drop_full_nec,-0.055818288690778026,-0.06408020924149954,-0.04705882352941171,139
system_json_pad-orig,all_heads,drop_full_nec_abs,-0.7850625,-0.8750000000000004,-0.625,139
system_json_pad-orig,all_mlps,drop_full_nec,0.10238270617901779,0.058441558441558496,0.1490528414755733,139
system_json_pad-orig,all_mlps,drop_full_nec_abs,0.7628437499999997,0.5,1.0000000000000016,139
system_json_pad-orig,stable_necessary_backbone,drop_full_nec,-0.058817152113738946,-0.06868131868131871,-0.045634920634920695,139
system_json_pad-orig,stable_necessary_backbone,drop_full_nec_abs,-0.59225,-0.6250000000000007,-0.5000000000000002,139
system_json_pad-orig,stable_but_weak_or_redundant,drop_full_nec,-0.03788311399664168,-0.0502450980392154,-0.0284673949023503,139
system_json_pad-orig,stable_but_weak_or_redundant,drop_full_nec_abs,-0.2564375,-0.37499999999999933,-0.24999999999999623,139
user_json_pad-system_json_pad,full_core,suff_ratio,-0.01951955284611077,-0.04035619552860936,0.0,139
user_json_pad-system_json_pad,full_core,nec_ratio,-0.049705749370399246,-0.07080745341614914,-0.03246753246753242,139
user_json_pad-system_json_pad,all_heads,drop_full_nec,-0.15497987035175975,-0.17923420249001648,-0.1315217391304348,139
user_json_pad-system_json_pad,all_heads,drop_full_nec_abs,-0.27165625000000043,-0.5625000000000018,-8.881784197001252e-16,139
user_json_pad-system_json_pad,all_mlps,drop_full_nec,0.11641320528873457,0.08795031055900601,0.1433730588660167,139
user_json_pad-system_json_pad,all_mlps,drop_full_nec_abs,1.0091249999999998,0.7500000000000001,1.1874999999999993,139
user_json_pad-system_json_pad,stable_necessary_backbone,drop_full_nec,-0.10785014133662203,-0.12082551594746721,-0.10061919504643961,139
user_json_pad-system_json_pad,stable_necessary_backbone,drop_full_nec_abs,-0.33462500000000045,-0.3750000000000018,-0.25000000000000044,139
user_json_pad-system_json_pad,stable_but_weak_or_redundant,drop_full_nec,-0.04627912988544276,-0.071604938271605,-0.02110216011976912,139
user_json_pad-system_json_pad,stable_but_weak_or_redundant,drop_full_nec_abs,-0.33631250000000024,-0.562500000000001,-0.062499999999999445,139
user_pad_short-orig,full_core,suff_ratio,0.19485570918166437,0.14213836477987452,0.22650231124807385,119
user_pad_short-orig,full_core,nec_ratio,0.16766225044902217,0.10526315789473684,0.2142076502732243,119
user_pad_short-orig,all_heads,drop_full_nec,-0.07132853639420912,-0.1006289308176101,-0.019138755980861344,119
user_pad_short-orig,all_heads,drop_full_nec_abs,-2.191,-2.375,-1.999999999999999,119
user_pad_short-orig,all_mlps,drop_full_nec,0.35042706472999,0.30802553579571357,0.4,119
user_pad_short-orig,all_mlps,drop_full_nec_abs,1.3595,1.2499999999999996,1.6249999999999998,119
user_pad_short-orig,stable_necessary_backbone,drop_full_nec,0.0200482608578314,-0.0032938076416338113,0.04482758620689642,119
user_pad_short-orig,stable_necessary_backbone,drop_full_nec_abs,-1.0943125,-1.25,-0.8750000000000007,119
user_pad_short-orig,stable_but_weak_or_redundant,drop_full_nec,0.17784862867662615,0.1416666666666666,0.2209677419354841,119
user_pad_short-orig,stable_but_weak_or_redundant,drop_full_nec_abs,0.19781250000000014,-2.220446049250313e-16,0.37500000000000133,119
